# submitted_item	validated_id	current_symbol
ATPCL	FBgn0020236	ATPCL
ATPsynB	FBgn0019644	ATPsynB
ATPsynC	FBgn0039830	ATPsynC
ATPsynCF6	FBgn0016119	ATPsynCF6
ATPsynCF6L	FBgn0035585	ATPsynCF6L
ATPsynD	FBgn0016120	ATPsynD
ATPsynE	FBgn0038224	ATPsynE
ATPsynF	FBgn0035032	ATPsynF
ATPsynG	FBgn0010612	ATPsynG
ATPsynGL	FBgn0031941	ATPsynGL
ATPsynO	FBgn0016691	ATPsynO
ATPsynbeta	FBgn0010217	ATPsynbeta
ATPsynbeta	FBgn0019644	ATPsynB
ATPsyndelta	FBgn0028342	ATPsyndelta
ATPsyngamma	FBgn0020235	ATPsyngamma
ATbp	FBgn0039946	ATbp
Aasdh	FBgn0027780	Aasdh
Aatf	FBgn0031851	Aatf
Abd-B	FBgn0000015	Abd-B
Abi	FBgn0020510	Abi
Abl	FBgn0000017	Abl
Abp1	FBgn0036372	Abp1
Ac13E	FBgn0022710	Ac13E
Ac3	FBgn0023416	Ac3
Ac76E	FBgn0004852	Ac76E
Ac78C	FBgn0024150	Ac78C
AcCoAS	FBgn0012034	AcCoAS
Acbp1	FBgn0031992	Acbp1
Acbp2	FBgn0010387	Acbp2
Acbp3	FBgn0250836	Acbp3
Acbp6	FBgn0035743	Acbp6
Ace	FBgn0000024	Ace
Ace	FBtp0084061	P{hb[Delta.Ace]}
Acer	FBgn0016122	Acer
Acf	FBgn0027620	Acf
Achl	FBgn0033936	Achl
Ack	FBgn0028484	Ack
Ack	FBtp0072725	P{UAS-Ack.S}
Ack-like	FBgn0263998	Ack-like
Acn	FBgn0263198	Acn
Acox57D-d	FBgn0034629	Acox57D-d
Acox57D-p	FBgn0034628	Acox57D-p
Acp1	FBgn0014454	Acp1
Acp33A	FBgn0267327	Acp33A
Acp36DE	FBgn0011559	Acp36DE
Acp53C14a	FBgn0034152	Acp53C14a
Acp53C14b	FBgn0034153	Acp53C14b
Acp53C14c	FBgn0053530	Acp53C14c
Acp53Ea	FBgn0015584	Acp53Ea
Acp62F	FBgn0020509	Acp62F
Acp65Aa	FBgn0020765	Acp65Aa
Acp95EF	FBgn0002863	Acp95EF
Acph-1	FBgn0000032	Acph-1
Acsl	FBgn0263120	Acsl
Act42A	FBgn0000043	Act42A
Act57B	FBgn0000044	Act57B
Act5C	FBgn0000042	Act5C
Act79B	FBgn0000045	Act79B
Act87E	FBgn0000046	Act87E
Actbeta	FBgn0024913	Actbeta
Actn	FBgn0000667	Actn
Acyp2	FBgn0038363	Acyp2
AdSL	FBgn0038467	AdSL
AdSS	FBgn0027493	AdSS
Ada	FBgn0037661	Ada
Ada	FBgn0264855	AP-2alpha
Ada1-1	FBgn0051865	Ada1-1
Ada1-2	FBgn0051866	Ada1-2
Ada2a	FBgn0263738	Ada2a
Ada2b	FBgn0037555	Ada2b
Ada3	FBgn0030891	Ada3
AdamTS-A	FBgn0286071	AdamTS-A
AdamTS-B	FBgn0029791	AdamTS-B
Adar	FBgn0026086	Adar
Adat1	FBgn0028658	Adat1
Adck1	FBgn0035039	Adck1
Adck5	FBgn0036142	Adck5
AdenoK	FBgn0036337	Adk2
Adf1	FBgn0284249	Adf1
Adgf-A	FBgn0036752	Adgf-A
Adgf-A2	FBgn0043025	Adgf-A2
Adgf-B	FBgn0036751	Adgf-B
Adgf-C	FBgn0038173	Adgf-C
Adgf-D	FBgn0038172	Adgf-D
Adgf-E	FBgn0033952	Adgf-E
Adh	FBgn0000055	Adh
Adi1	FBgn0052068	Adi1
AdipoR	FBgn0038984	AdipoR
Adk1	FBgn0037995	Adk1
Adk1	FBgn0022709	Ak1
Adk2	FBgn0036337	Adk2
Adk2	FBgn0283494	Ak2
Adk3	FBgn0026602	Adk3
Adk3	FBgn0042094	Ak3
AdoR	FBgn0039747	AdoR
Aduk	FBgn0037679	Aduk
Ady43A	FBgn0026602	Adk3
Ae2	FBgn0036043	Ae2
Aef1	FBgn0005694	Aef1
Afti	FBgn0038223	Afti
Ag5r	FBgn0015010	Ag5r
Ag5r2	FBgn0020508	Ag5r2
AgmNAT	FBgn0029813	AgmNAT
Agpat1	FBgn0030421	Agpat1
Agpat2	FBgn0026718	Agpat2
Agpat3	FBgn0036623	Agpat3
Agpat4	FBgn0036622	Agpat4
Ahcy	FBgn0014455	Ahcy
AhcyL1	FBgn0035371	AhcyL1
AhcyL2	FBgn0015011	AhcyL2
Ak6	FBgn0033754	Ak6
Akap200	FBgn0027932	Akap200
Akh	FBgn0004552	Akh
AkhR	FBgn0025595	AkhR
Akr1B	FBgn0086254	Akr1B
Akt1	FBgn0010379	Akt
Akt1	FBtp0014557	P{UAS-Akt.HA}
AlaRS	FBgn0027094	AlaRS
AlaRS-m	FBgn0028962	AlaRS-m
Aladin	FBgn0030122	Aladin
Alas	FBgn0020764	Alas
Ald1	FBgn0000064	Ald1
Ald2	FBgn0039425	Ald2
Aldh	FBgn0012036	Aldh
Aldh-III	FBgn0010548	Aldh-III
Aldh7A1	FBgn0036857	Aldh7A1
Alg-2	FBgn0086378	Alg-2
Alg1	FBgn0038552	Alg1
Alg10	FBgn0052076	Alg10
Alg11	FBgn0037108	Alg11
Alg14	FBgn0030645	Alg14
Alg2	FBgn0035401	Alg2
Alg3	FBgn0011297	Alg3
Alg9	FBgn0039293	Alg9
Alh	FBgn0261238	Alh
Alk	FBgn0040505	Alk
AlkB	FBgn0065035	AlkB
Alp11	FBgn0030661	Alp11
Alp12	FBgn0032779	Alp12
Alp4	FBgn0016123	Alp4
Alp5	FBgn0038845	Alp5
Alp6	FBgn0033423	Alp6
Alp8	FBgn0034712	Alp8
Alr	FBgn0031068	Alr
Als2	FBgn0037116	Als2
Amacr	FBgn0032881	Amacr
Amnionless	FBgn0025686	Amnionless
Amph	FBgn0027356	Amph
Amt	FBgn0038309	Amt
Amun	FBgn0030328	Amun
Amyrel	FBgn0020506	Amyrel
Ance	FBgn0012037	Ance
Ance-3	FBgn0032536	Ance-3
Ance-4	FBgn0033366	Ance-4
Ance-5	FBgn0035076	Ance-5
Ank	FBgn0011747	Ank
Ank2	FBgn0261788	Ank2
Ankle2	FBgn0028343	Ankle2
Ant2	FBgn0025111	Ant2
Antp	FBgn0260642	Antp
AnxB10	FBgn0000084	AnxB10
AnxB11	FBgn0030749	AnxB11
AnxB9	FBgn0000083	AnxB9
Aos1	FBgn0029512	Aos1
Apc	FBgn0015589	Apc
Apc	FBgn0001027	Fs(3)Apc
Apc2	FBgn0026598	Apc2
Apc2	FBgn0002791	mr
ApepP	FBgn0026150	ApepP
Apf	FBgn0287788	Datp
Apl	FBgn0042178	Apl
Aplip1	FBgn0040281	Aplip1
Apoltp	FBgn0032136	Apoltp
Appl	FBgn0000108	Appl
Appl	FBtp0094970	P{Appl-GAL4.U}
Aprt	FBgn0000109	Aprt
Aps	FBgn0036111	Aps
Arc1	FBgn0033926	Arc1
Arc2	FBgn0033928	Arc2
Arc42	FBgn0038742	Arc42
Archease	FBgn0038893	Archease
Arf102F	FBgn0013749	Arf102F
Arf51F	FBgn0013750	Arf51F
Arf79F	FBgn0010348	Arf79F
ArfGAP1	FBgn0020655	ArfGAP1
ArfGAP1	FBtp0080568	P{UAS-HA-hArfGAP1}
ArfGAP3	FBgn0037182	ArfGAP3
Arfip	FBgn0037884	Arfip
Arfrp1	FBgn0030088	Arfrp1
ArgRS	FBgn0027093	ArgRS
ArgRS-m	FBgn0037526	ArgRS-m
Argk	FBgn0000116	Argk1
Argl	FBgn0032076	Argl
Arl1	FBgn0000115	Arl1
Arl2	FBgn0004908	Arl2
Arl4	FBgn0039889	Arl4
Arl5	FBgn0035866	Arl5
Arl6	FBgn0034446	Arl6
Arl6IP1	FBgn0038453	Arl6IP1
Arl8	FBgn0037551	Arl8
Arp1	FBgn0011745	Arp1
Arp1	FBgn0030088	Arfrp1
Arp10	FBgn0031050	Arp10
Arp2	FBgn0011742	Arp2
Arp3	FBgn0262716	Arp3
Arp5	FBgn0038576	Arp5
Arp6	FBgn0011741	Arp6
Arp8	FBgn0030877	Arp8
Arpc1	FBgn0001961	Arpc1
Arpc2	FBgn0032859	Arpc2
Arpc3A	FBgn0038369	Arpc3A
Arpc3B	FBgn0065032	Arpc3B
Arpc4	FBgn0284255	Arpc4
Arpc5	FBgn0031437	Arpc5
Arr1	FBgn0000120	Arr1
Arr2	FBgn0000121	Arr2
Ars2	FBgn0033062	Ars2
Ars2	FBgn0000124	Ars-region2
Art1	FBgn0037834	Art1
Art2	FBgn0031592	Art2
Art3	FBgn0038306	Art3
Art4	FBgn0037770	Art4
Art7	FBgn0034817	Art7
Art8	FBgn0032329	Art8
Arts	FBgn0042177	Arts
Arv1	FBgn0052442	Arv1
Asap	FBgn0050372	Asap
Asap	FBgn0051721	Trim9
Asator	FBgn0039908	Asator
Asciz	FBgn0035407	Asciz
Ask1	FBgn0014006	Ask1
AsnRS	FBgn0086443	AsnRS
AsnRS-m	FBgn0034177	AsnRS-m
AsnS	FBgn0270926	AsnS
AspRS	FBgn0002069	AspRS
AspRS-m	FBgn0051739	AspRS-m
Asph	FBgn0034075	Asph
Ass	FBgn0026565	Ass
AstA	FBgn0015591	AstA
AstA-R1	FBgn0266429	AstA-R1
AstC-R1	FBgn0036790	AstC-R1
AstC-R2	FBgn0036789	AstC-R2
Asx	FBgn0261823	Asx
Atac1	FBgn0031876	Atac1
Atac2	FBgn0032691	Atac2
Atac3	FBgn0052343	Atac3
Ate1	FBgn0025720	Ate1
Atet	FBgn0020762	Atet
Atf-2	FBgn0265193	Atf-2
Atf-2	FBgn0265182	CG44247
Atf3	FBgn0028550	Atf3
Atf6	FBgn0033010	Atf6
Atg1	FBgn0260945	Atg1
Atg10	FBgn0040780	Atg10
Atg101	FBgn0030960	Atg101
Atg12	FBgn0036255	Atg12
Atg13	FBgn0261108	Atg13
Atg14	FBgn0039636	Atg14
Atg16	FBgn0039705	Atg16
Atg17	FBgn0037363	Atg17
Atg18a	FBgn0035850	Atg18a
Atg18b	FBgn0032935	Atg18b
Atg2	FBgn0044452	Atg2
Atg3	FBgn0036813	Atg3
Atg4a	FBgn0031298	Atg4a
Atg4b	FBgn0038325	Atg4b
Atg5	FBgn0029943	Atg5
Atg6	FBgn0264325	Atg6
Atg7	FBgn0034366	Atg7
Atg8a	FBgn0052672	Atg8a
Atg8b	FBgn0038539	Atg8b
Atg9	FBgn0034110	Atg9
Atox1	FBgn0052446	Atox1
Atpalpha	FBgn0002921	Atpalpha
Atpalpha	FBal0009413	Atpalpha[01453a]
AttA	FBgn0012042	AttA
AttB	FBgn0041581	AttB
AttC	FBgn0041579	AttC
Atu	FBgn0019637	Atu
Atx-1	FBgn0029907	Atx-1
Atx2	FBgn0041188	Atx2
Atxn7	FBgn0031420	Atxn7
Aven	FBgn0030410	Aven
Awh	FBgn0013751	Awh
Axn	FBgn0026597	Axn
Axs	FBgn0000152	Axs
Axud1	FBgn0261647	Axud1
B-H1	FBgn0011758	B-H1
B-H2	FBgn0004854	B-H2
B4	FBgn0023407	B4
B4	FBab0008508	T(Y;2)B4
B4	FBab0009720	Tp(1;Y)B4
B4	FBal0043283	l(1)9Fl[B4]
B4	FBgn0013686	mt:lrRNA
B4	FBtp0052829	P{B4-EGFP}
B4	FBtp0056093	P{UAS-VGlut.B4.GFP}
B4	FBtp0069197	P{AP-2-lacZ.B4}
B52	FBgn0004587	B52
B52	FBab0006748	T(1;Y)B52
B52	FBal0121934	Su(rst)B52[B52]
B52	FBgn0044007	Su(rst)B52
B52	FBtp0056125	P{UAS-VGlut.B52.GFP}
B9d1	FBgn0038342	B9d1
BBS1	FBgn0035741	BBS1
BBS4	FBgn0033578	BBS4
BBS5	FBgn0037280	BBS5
BBS8	FBgn0031255	BBS8
BBS9	FBgn0034622	BBS9
BCAS2	FBgn0039558	BCAS2
BCL7-like	FBgn0026149	BCL7-like
BEAF-32	FBgn0015602	BEAF-32
BHD	FBgn0261111	BHD
BI-1	FBgn0035871	BI-1
BOD1	FBgn0039560	BOD1
BORCS5	FBgn0030346	BORCS5
BORCS6	FBgn0035140	BORCS6
BRWD3	FBgn0011785	BRWD3
BTBD9	FBgn0030228	BTBD9
Bacc	FBgn0031453	Bacc
Balat	FBgn0033778	Balat
Baldspot	FBgn0260960	Baldspot
Bap111	FBgn0030093	Bap111
Bap170	FBgn0042085	Bap170
Bap55	FBgn0025716	Bap55
Bap60	FBgn0025463	Bap60
Bdbt	FBgn0038857	Bdbt
Bdp1	FBgn0032512	Bdp1
Bem46	FBgn0025109	Bem46
Best1	FBgn0040238	Best1
Best2	FBgn0035696	Best2
Best3	FBgn0036492	Best3
Bet1	FBgn0260857	Bet1
Bet3	FBgn0260859	Bet3
Bet5	FBgn0260860	Bet5
Bgb	FBgn0013753	Bgb
BicD	FBgn0000183	BicD
BigH1	FBgn0038252	BigH1
Bili	FBgn0039282	Bili
Bin1	FBgn0024491	Bin1
Bin1	FBgn0027356	Amph
Bka	FBgn0010520	Bka
Blimp-1	FBgn0035625	Blimp-1
Blm	FBgn0002906	Blm
Blos1	FBgn0050077	Blos1
Blos2	FBgn0036118	Blos2
Blos3	FBgn0085284	Blos3
Blos4	FBgn0036105	Blos4
Bmcp	FBgn0036199	Bmcp
BomBc1	FBgn0034328	BomBc1
BomBc2	FBgn0034331	BomBc2
BomBc3	FBgn0040582	BomBc3
BomS1	FBgn0034329	BomS1
BomS2	FBgn0025583	BomS2
BomS3	FBgn0040736	BomS3
BomS4	FBgn0034330	BomS4
BomS5	FBgn0040734	BomS5
BomS6	FBgn0040733	BomS6
BomT1	FBgn0262838	BomT1
BomT2	FBgn0040735	BomT2
BomT3	FBgn0038930	BomT3
Boot	FBgn0033374	Boot
Br140	FBgn0033155	Br140
Brca2	FBgn0050169	Brca2
Brd	FBgn0000216	Brd
Brd8	FBgn0039654	Brd8
Bre1	FBgn0086694	Bre1
Brf	FBgn0038499	Brf
Brms1	FBgn0030434	Brms1
Bro	FBgn0013755	Bro
Bruce	FBgn0266717	Bruce
Bsg	FBgn0261822	Bsg
Bsg25A	FBgn0000227	Elba1
Bsg25D	FBgn0000228	Bsg25D
BtbVII	FBgn0263108	BtbVII
BthD	FBgn0030501	BthD
Btk29A	FBgn0003502	Btk29A
BuGZ	FBgn0032600	BuGZ
Bub1	FBgn0031696	Bub1
Bub1	FBgn0263855	BubR1
Bub3	FBgn0025457	Bub3
BubR1	FBgn0263855	BubR1
Buffy	FBgn0040491	Buffy
Bug22	FBgn0032248	Bug22
Bx	FBgn0265598	Bx
Bx42	FBgn0004856	Bx42
C15	FBgn0004863	C15
C1GalTA	FBgn0032078	C1GalTA
C3G	FBgn0259228	C3G
C3G	FBgn0000246	c(3)G
C901	FBgn0021742	C901
CAH1	FBgn0027844	CAH1
CAH13	FBgn0033542	CAH13
CAH15	FBgn0034560	CAH15
CAH2	FBgn0027843	CAH2
CAH3	FBgn0030056	CAH3
CAH6	FBgn0039838	CAH6
CAH7	FBgn0037788	CAH7
CAH8	FBgn0038956	CAH8
CAH9	FBgn0039486	CAH9
CAHbeta	FBgn0037646	CAHbeta
CAP	FBgn0033504	CAP
CAP	FBgn0015615	SMC3
CAP	FBgn0039722	Capa
CAP	FBgn0261458	capt
CARPA	FBgn0029962	CARPA
CARPB	FBgn0052698	CARPB
CASK	FBgn0013759	CASK
CBP	FBgn0026144	CBP
CBP	FBgn0015218	eIF4E1
CBP	FBgn0261617	nej
CCAP	FBgn0039007	CCAP
CCAP	FBtp0017683	P{CCAP-GAL4.P}
CCAP-R	FBgn0039396	CCAP-R
CCDC151	FBgn0036219	CCDC151
CCDC53	FBgn0031979	CCDC53
CCHa1	FBgn0038199	CCHa1
CCHa1-R	FBgn0050106	CCHa1-R
CCHa2	FBgn0038147	CCHa2
CCHa2-R	FBgn0033058	CCHa2-R
CCKLR-17D1	FBgn0259231	CCKLR-17D1
CCKLR-17D3	FBgn0030954	CCKLR-17D3
CCT1	FBgn0003676	CCT1
CCT1	FBgn0041342	Pcyt1
CCT2	FBgn0030086	CCT2
CCT2	FBgn0035231	Pcyt2
CCT3	FBgn0015019	CCT3
CCT4	FBgn0032444	CCT4
CCT5	FBgn0010621	CCT5
CCT6	FBgn0027329	CCT6
CCT7	FBgn0037632	CCT7
CCT8	FBgn0284436	CCT8
CCY	FBgn0267592	CCY
CD98hc	FBgn0037533	CD98hc
CDC50	FBgn0030752	CDC50
CDK2AP1	FBgn0030269	CDK2AP1
CDase	FBgn0039774	CDase
CG10005	FBgn0037972	CG10005
CG10011	FBgn0039590	CG10011
CG10019	FBgn0031568	CG10019
CG10026	FBgn0032785	CG10026
CG10031	FBgn0031563	CG10031
CG10035	FBgn0038028	CG10035
CG10038	FBgn0038013	CG10038
CG10041	FBgn0038014	CG10041
CG10050	FBgn0037492	Dtwd2
CG10053	FBgn0037490	CG10053
CG10055	FBgn0037482	CG10055
CG10062	FBgn0034439	CG10062
CG10063	FBgn0035727	CG10063
CG10064	FBgn0035724	CG10064
CG10068	FBgn0037473	CG10068
CG10073	FBgn0034440	CG10073
CG10075	FBgn0035722	CG10075
CG10077	FBgn0035720	CG10077
CG10082	FBgn0034644	CG10082
CG10086	FBgn0037517	CG10086
CG10089	FBgn0036369	CG10089
CG10096	FBgn0038032	CG10096
CG10098	FBgn0037472	CG10098
CG10116	FBgn0036367	CG10116
CG10126	FBgn0038088	CG10126
CG10132	FBgn0032798	CG10132
CG10137	FBgn0032800	CG10137
CG10139	FBgn0033951	CG10139
CG10147	FBgn0035702	CG10147
CG10151	FBgn0033960	CG10151
CG10164	FBgn0039088	CG10164
CG10165	FBgn0032801	CG10165
CG10166	FBgn0032799	Dpm1
CG10171	FBgn0036353	CG10171
CG10175	FBgn0039084	CG10175
CG10177	FBgn0039083	CG10177
CG10182	FBgn0039091	CG10182
CG10183	FBgn0039093	CG10183
CG10184	FBgn0039094	CG10184
CG10185	FBgn0038397	CG10185
CG10188	FBgn0032796	cyst
CG10189	FBgn0032793	CG10189
CG10194	FBgn0032790	CG10194
CG10195	FBgn0032787	CG10195
CG10205	FBgn0033970	CG10205
CG10208	FBgn0039118	CG10208
CG10209	FBgn0033971	CG10209
CG10211	FBgn0032685	CG10211
CG10214	FBgn0039115	CG10214
CG10222	FBgn0036356	CG10222
CG10226	FBgn0035695	CG10226
CG10237	FBgn0032783	CG10237
CG1024	FBgn0027514	CG1024
CG10252	FBgn0039104	CG10252
CG10254	FBgn0027512	CG10254
CG10257	FBgn0033985	CG10257
CG10265	FBgn0033990	CG10265
CG10268	FBgn0032811	Pmvk
CG10274	FBgn0035690	CG10274
CG10283	FBgn0032681	CG10283
CG10286	FBgn0037439	CG10286
CG10298	FBgn0037432	CG10298
CG10307	FBgn0034655	CG10307
CG10311	FBgn0038420	CG10311
CG10317	FBgn0038423	CG10317
CG10321	FBgn0034643	CG10321
CG10324	FBgn0038454	CG10324
CG10333	FBgn0032690	CG10333
CG10336	FBgn0032698	CG10336
CG10337	FBgn0032805	CG10337
CG10338	FBgn0032700	CG10338
CG10339	FBgn0034972	CG10339
CG10340	FBgn0022344	CG10340
CG10341	FBgn0032701	CG10341
CG10343	FBgn0032703	CG10343
CG10344	FBgn0034729	CG10344
CG10345	FBgn0027562	CG10345
CG10347	FBgn0030342	CG10347
CG10348	FBgn0032707	CG10348
CG10352	FBgn0030348	CG10352
CG10353	FBgn0030349	CG10353
CG10357	FBgn0035453	CG10357
CG10359	FBgn0035452	CG10359
CG10361	FBgn0036208	CG10361
CG10362	FBgn0030358	CG10362
CG10365	FBgn0039109	CG10365
CG10366	FBgn0032814	CG10366
CG10375	FBgn0039116	CG10375
CG10376	FBgn0032702	CG10376
CG10383	FBgn0032699	CG10383
CG10384	FBgn0034731	CG10384
CG10395	FBgn0033019	CG10395
CG10405	FBgn0038431	CG10405
CG10407	FBgn0038395	CG10407
CG10413	FBgn0032689	CG10413
CG10417	FBgn0033021	CG10417
CG10418	FBgn0036277	CG10418
CG10425	FBgn0039304	CG10425
CG10428	FBgn0032724	CG10428
CG10431	FBgn0032730	CG10431
CG10433	FBgn0034638	CG10433
CG10435	FBgn0037539	CG10435
CG10444	FBgn0034494	CG10444
CG10445	FBgn0037531	CG10445
CG10462	FBgn0032815	CG10462
CG10463	FBgn0032819	CG10463
CG10465	FBgn0033017	CG10465
CG10466	FBgn0032822	CG10466
CG10467	FBgn0035679	CG10467
CG10469	FBgn0035678	CG10469
CG10470	FBgn0032746	CG10470
CG10472	FBgn0035670	CG10472
CG10479	FBgn0035656	CG10479
CG10481	FBgn0032827	CG10481
CG10483	FBgn0035649	CG10483
CG10492	FBgn0032748	CG10492
CG10494	FBgn0034634	CG10494
CG10495	FBgn0032750	CG10495
CG10505	FBgn0034612	CG10505
CG10508	FBgn0037060	CG10508
CG10512	FBgn0037057	CG10512
CG10513	FBgn0039311	CG10513
CG10514	FBgn0039312	CG10514
CG10516	FBgn0036549	CG10516
CG10527	FBgn0034583	CG10527
CG10543	FBgn0034570	CG10543
CG10550	FBgn0039321	CG10550
CG10553	FBgn0039324	CG10553
CG10555	FBgn0030034	CG10555
CG10559	FBgn0039323	CG10559
CG10560	FBgn0039325	CG10560
CG10561	FBgn0002036	CG10561
CG10562	FBgn0039326	CG10562
CG10565	FBgn0037051	CG10565
CG10576	FBgn0035630	CG10576
CG10581	FBgn0037046	CG10581
CG10584	FBgn0037045	CG10584
CG10589	FBgn0037035	CG10589
CG10591	FBgn0035621	CG10591
CG10600	FBgn0032717	CG10600
CG10602	FBgn0032721	CG10602
CG10602	FBgn0032720	mRpL13
CG10616	FBgn0036286	CG10616
CG10621	FBgn0032726	CG10621
CG10623	FBgn0032727	CG10623
CG10628	FBgn0032818	CG10628
CG10631	FBgn0032817	CG10631
CG10638	FBgn0036290	CG10638
CG10646	FBgn0036292	CG10646
CG10650	FBgn0046302	CG10650
CG10654	FBgn0036294	CG10654
CG10657	FBgn0036289	CG10657
CG10660	FBgn0036288	CG10660
CG10663	FBgn0036287	CG10663
CG10669	FBgn0039329	CG10669
CG10672	FBgn0035588	Dhrs4
CG10674	FBgn0035592	CG10674
CG10680	FBgn0032836	CG10680
CG10681	FBgn0036291	CG10681
CG10694	FBgn0039147	CG10694
CG10702	FBgn0032752	CG10702
CG10710	FBgn0036377	CG10710
CG10713	FBgn0036360	CG10713
CG10730	FBgn0032843	CG10730
CG10731	FBgn0034081	CG10731
CG10734	FBgn0034082	CG10734
CG10737	FBgn0034420	CG10737
CG10738	FBgn0036368	CG10738
CG1074	FBgn0037250	CG1074
CG10747	FBgn0032845	CG10747
CG10749	FBgn0036328	CG10749
CG10752	FBgn0036325	CG10752
CG10778	FBgn0029980	Dhdds
CG10793	FBgn0029656	CG10793
CG10795	FBgn0034626	CG10795
CG10799	FBgn0033821	CG10799
CG10801	FBgn0029660	CG10801
CG10802	FBgn0029664	CG10802
CG10803	FBgn0029666	CG10803
CG10804	FBgn0029663	CG10804
CG10809	FBgn0036052	CG10809
CG10839	FBgn0028858	CG10839
CG10841	FBgn0038163	CG10841
CG10845	FBgn0039246	CG10845
CG10862	FBgn0035455	CG10862
CG10863	FBgn0027552	CG10863
CG10864	FBgn0038621	CG10864
CG10866	FBgn0035475	CG10866
CG10869	FBgn0031347	nis
CG10874	FBgn0031395	CG10874
CG10877	FBgn0038804	CG10877
CG10887	FBgn0038773	CG10887
CG10898	FBgn0037911	CG10898
CG1090	FBgn0037238	CG1090
CG10903	FBgn0037543	CG10903
CG10904	FBgn0034945	CG10904
CG10907	FBgn0036207	CG10907
CG10914	FBgn0034307	CG10914
CG10916	FBgn0034312	CG10916
CG1092	FBgn0037228	CG1092
CG10920	FBgn0029963	CG10920
CG10927	FBgn0034360	CG10927
CG10932	FBgn0029969	CG10932
CG10934	FBgn0034263	CG10934
CG10936	FBgn0034253	CG10936
CG10939	FBgn0010620	CG10939
