module	gene	color	rgb
2	RpS4	#FFDB6DFF	255-219-109
2	RpS5a	#FFDB6DFF	255-219-109
2	RpS6	#FFDB6DFF	255-219-109
2	RpS8	#FFDB6DFF	255-219-109
2	RpS9	#FFDB6DFF	255-219-109
2	sta	#FFDB6DFF	255-219-109
2	Tctp	#FFDB6DFF	255-219-109
3	Argk1	#4E84C4FF	78-132-196
3	ATPsynB	#4E84C4FF	78-132-196
3	ATPsynC	#4E84C4FF	78-132-196
3	ATPsynCF6	#4E84C4FF	78-132-196
3	ATPsynD	#4E84C4FF	78-132-196
3	ATPsyndelta	#4E84C4FF	78-132-196
3	ATPsynE	#4E84C4FF	78-132-196
3	ATPsynF	#4E84C4FF	78-132-196
3	ATPsynG	#4E84C4FF	78-132-196
3	ATPsyngamma	#4E84C4FF	78-132-196
3	ATPsynO	#4E84C4FF	78-132-196
3	blw	#4E84C4FF	78-132-196
3	Cchl	#4E84C4FF	78-132-196
3	CG11267	#4E84C4FF	78-132-196
3	CG11752	#4E84C4FF	78-132-196
3	CG14757	#4E84C4FF	78-132-196
3	Ypel	#4E84C4FF	78-132-196
3	CG31808	#4E84C4FF	78-132-196
3	CG32278	#4E84C4FF	78-132-196
3	CG44242	#4E84C4FF	78-132-196
3	Mic26-27	#4E84C4FF	78-132-196
3	CG6329	#4E84C4FF	78-132-196
3	CG7430	#4E84C4FF	78-132-196
3	CG7630	#4E84C4FF	78-132-196
3	Cisd2	#4E84C4FF	78-132-196
3	COX4	#4E84C4FF	78-132-196
3	COX5A	#4E84C4FF	78-132-196
3	COX5B	#4E84C4FF	78-132-196
3	COX6B	#4E84C4FF	78-132-196
3	COX7A	#4E84C4FF	78-132-196
3	COX7C	#4E84C4FF	78-132-196
3	COX8	#4E84C4FF	78-132-196
3	cype	#4E84C4FF	78-132-196
3	Cyt-c-p	#4E84C4FF	78-132-196
3	Gapdh1	#4E84C4FF	78-132-196
3	Gpdh1	#4E84C4FF	78-132-196
3	Idh3a	#4E84C4FF	78-132-196
3	Pdha	#4E84C4FF	78-132-196
3	levy	#4E84C4FF	78-132-196
3	Mpcp2	#4E84C4FF	78-132-196
3	ND-13B	#4E84C4FF	78-132-196
3	ND-15	#4E84C4FF	78-132-196
3	ND-18	#4E84C4FF	78-132-196
3	ND-19	#4E84C4FF	78-132-196
3	ND-20	#4E84C4FF	78-132-196
3	ND-24	#4E84C4FF	78-132-196
3	ND-30	#4E84C4FF	78-132-196
3	ND-42	#4E84C4FF	78-132-196
3	ND-49	#4E84C4FF	78-132-196
3	ND-ACP	#4E84C4FF	78-132-196
3	ND-ASHI	#4E84C4FF	78-132-196
3	ND-B14	#4E84C4FF	78-132-196
3	ND-B14.5A	#4E84C4FF	78-132-196
3	ND-B14.5B	#4E84C4FF	78-132-196
3	ND-B15	#4E84C4FF	78-132-196
3	ND-B17	#4E84C4FF	78-132-196
3	ND-B17.2	#4E84C4FF	78-132-196
3	ND-B18	#4E84C4FF	78-132-196
3	ND-B22	#4E84C4FF	78-132-196
3	ND-MLRQ	#4E84C4FF	78-132-196
3	ND-MWFE	#4E84C4FF	78-132-196
3	ND-PDSW	#4E84C4FF	78-132-196
3	Neb-cGP	#4E84C4FF	78-132-196
3	NP15.6	#4E84C4FF	78-132-196
3	nrv3	#4E84C4FF	78-132-196
3	ox	#4E84C4FF	78-132-196
3	Pgk	#4E84C4FF	78-132-196
3	porin	#4E84C4FF	78-132-196
3	QIL1	#4E84C4FF	78-132-196
3	RFeSP	#4E84C4FF	78-132-196
3	roh	#4E84C4FF	78-132-196
3	Scsalpha1	#4E84C4FF	78-132-196
3	SdhD	#4E84C4FF	78-132-196
3	sesB	#4E84C4FF	78-132-196
3	Tom20	#4E84C4FF	78-132-196
3	Tpi	#4E84C4FF	78-132-196
3	Tsp42Ej	#4E84C4FF	78-132-196
3	UQCR-11	#4E84C4FF	78-132-196
3	UQCR-14	#4E84C4FF	78-132-196
3	UQCR-6.4	#4E84C4FF	78-132-196
3	UQCR-C1	#4E84C4FF	78-132-196
3	UQCR-C2	#4E84C4FF	78-132-196
3	UQCR-Q	#4E84C4FF	78-132-196
4	AP-2sigma	#52854CFF	82-133-76
4	Atg8a	#52854CFF	82-133-76
4	CaMKII	#52854CFF	82-133-76
4	CG3662	#52854CFF	82-133-76
4	CG3793	#52854CFF	82-133-76
4	CG7407	#52854CFF	82-133-76
4	CG7781	#52854CFF	82-133-76
4	Eno	#52854CFF	82-133-76
4	Fis1	#52854CFF	82-133-76
4	gammaSnap1	#52854CFF	82-133-76
4	Gapdh2	#52854CFF	82-133-76
4	Gbeta5	#52854CFF	82-133-76
4	Glut4EF	#52854CFF	82-133-76
4	lola	#52854CFF	82-133-76
4	nSyb	#52854CFF	82-133-76
4	Pgi	#52854CFF	82-133-76
4	Pglym78	#52854CFF	82-133-76
4	PyK	#52854CFF	82-133-76
4	RNASEK	#52854CFF	82-133-76
4	Sap47	#52854CFF	82-133-76
4	shi	#52854CFF	82-133-76
4	veli	#52854CFF	82-133-76
4	Vha13	#52854CFF	82-133-76
4	Vha14-1	#52854CFF	82-133-76
4	Vha16-1	#52854CFF	82-133-76
4	Vha36-1	#52854CFF	82-133-76
4	Vha44	#52854CFF	82-133-76
4	Vha68-1	#52854CFF	82-133-76
4	VhaAC39-1	#52854CFF	82-133-76
