#submitted_item	validated_id	current_symbol
CG10007	FBgn0260744	Tango9
CG10652	FBgn0086710	RpL30
CG10653	FBgn0001202	hook
CG10664	FBgn0032833	COX4
CG10682	FBgn0264848	vih
CG10686	FBgn0041775	tral
CG10693	FBgn0003429	slo
CG1070	FBgn0261238	Alh
CG10701	FBgn0011661	Moe
CG10706	FBgn0029761	SK
CG10712	FBgn0044324	Chro
CG10719	FBgn0010300	brat
CG10751	FBgn0024196	robl
CG10763	FBgn0030011	GÎ²5
CG10777	FBgn0029979	mahe
CG1079	FBgn0026592	Fie
CG10804	FBgn0029663	CG10804
CG1081	FBgn0041191	Rheb
CG10811	FBgn0023213	eIF4G1
CG10830	FBgn0038839	Ktl
CG10837	FBgn0020660	eIF4B
CG10840	FBgn0026259	eIF5B
CG10847	FBgn0004875	enc
CG10851	FBgn0004587	B52
CG10861	FBgn0036255	Atg12
CG1088	FBgn0283535	Vha26
CG10897	FBgn0033636	tou
CG1090	FBgn0037238	CG1090
CG10944	FBgn0261592	RpS6
CG10946	FBgn0029974	dpr14
CG10952	FBgn0000535	eag
CG10967	FBgn0260945	Atg1
CG10986	FBgn0001087	g
CG1099	FBgn0023388	Dap160
CG10990	FBgn0030520	Pdcd4
CG10992	FBgn0030521	CtsB
CG1100	FBgn0028690	Rpn5
CG11000	FBgn0263353	CG11000
CG11001	FBgn0013954	Fkbp12
CG1101	FBgn0010774	Ref1
CG11015	FBgn0031830	COX5B
CG11024	FBgn0000318	cl
CG11027	FBgn0013749	Arf102F
CG11050	FBgn0031836	CG11050
CG11059	FBgn0039928	Cals
CG11062	FBgn0024913	ActÎ²
CG11076	FBgn0039929	CG11076
CG11081	FBgn0025741	PlexA
CG11098	FBgn0286898	Tango1
CG11111	FBgn0003218	rdgB
CG11122	FBgn0030266	CG11122
CG11137	FBgn0037199	EMC4
CG11138	FBgn0030400	Pits
CG11148	FBgn0039936	Gyf
CG11154	FBgn0010217	ATPsynÎ²
CG11155	FBgn0039927	CG11155
CG11172	FBgn0030505	NFAT
CG11206	FBgn0034720	Liprin-Î³
CG11217	FBgn0015614	CanB2
CG11247	FBgn0037120	CG11247
CG11265	FBgn0030049	Trf4-1
CG11266	FBgn0031883	Caper
CG11267	FBgn0036334	CG11267
CG11271	FBgn0083978	CG17672
CG11271	FBgn0286213	RpS12
CG11276	FBgn0011284	RpS4
CG1130	FBgn0004880	scrt
CG11303	FBgn0020372	TM4SF
CG11319	FBgn0031835	Dpp10
CG11328	FBgn0028703	Nhe3
CG11347	FBgn0035542	DOR
CG11348	FBgn0000038	nAChRÎ²1
CG11352	FBgn0027339	jim
CG11360	FBgn0039920	CG11360
CG11372	FBgn0031213	galectin
CG11387	FBgn0004198	ct
CG11448	FBgn0024985	Rilpl
CG11455	FBgn0031228	ND-15
CG11486	FBgn0035397	PAN3
CG11505	FBgn0035424	Larp4B
CG11516	FBgn0004369	Ptp99A
CG11522	FBgn0039857	RpL6
CG11525	FBgn0039858	CycG
CG11533	FBgn0039908	Asator
CG11537	FBgn0035400	CG11537
CG11579	FBgn0000117	arm
CG1161	FBgn0037313	CG1161
CG11614	FBgn0002945	nkd
CG11622	FBgn0026056	Rlip
CG11624	FBgn0003943	Ubi-p63E
CG1163	FBgn0003275	Polr2F
CG11638	FBgn0040351	CG11638
CG11661	FBgn0010352	Ogdh
CG11665	FBgn0033028	hrm
CG1168	FBgn0041707	7B2
CG11680	FBgn0002774	mle
CG11699	FBgn0030311	CG11699
CG11711	FBgn0259481	Mob2
CG11727	FBgn0262740	Evi5
CG11752	FBgn0030292	CG11752
CG11785	FBgn0045866	bai
CG11793	FBgn0003462	Sod1
CG11798	FBgn0015371	chn
CG11799	FBgn0036134	FoxK
CG11844	FBgn0046214	vig2
CG11873	FBgn0039633	Bicra
CG11876	FBgn0039635	Pdhb
CG11924	FBgn0000286	Cf2
CG11940	FBgn0261811	pico
CG11958	FBgn0015622	Cnx99A
CG11963	FBgn0037643	ScsÎ²A
CG1200	FBgn0040281	Aplip1
CG12004	FBgn0035236	CG12004
CG12012	FBgn0035444	CG12012
CG12025	FBgn0035285	CG12025
CG12052	FBgn0283521	lola
CG12054	FBgn0039831	CG12054
CG12055	FBgn0001091	Gapdh1
CG12070	FBgn0000416	Sap-r
CG12071	FBgn0039808	CG12071
CG12072	FBgn0011739	wts
CG12076	FBgn0027616	Ythdc1
CG12079	FBgn0266582	ND-30
CG12084	FBgn0043458	CG12084
CG12085	FBgn0028577	hfp
CG12091	FBgn0035228	CG12091
CG1210	FBgn0020386	Pdk1
CG12101	FBgn0015245	Hsp60A
CG12131	FBgn0027619	eIF3j
CG12143	FBgn0033132	Tsp42Ej
CG12157	FBgn0016041	Tom40
CG12163	FBgn0053293	CG33293
CG12163	FBgn0260462	CtsF
CG12175	FBgn0030502	tth
CG12203	FBgn0031021	ND-18
CG1221	FBgn0027111	miple1
CG12214	FBgn0265512	mlt
CG12218	FBgn0026206	mei-P26
CG12223	FBgn0278608	Dsp1
CG12225	FBgn0028982	Spt6
CG12233	FBgn0027291	Idh3a
CG12238	FBgn0087008	e(y)3
CG12283	FBgn0015399	kek1
CG12284	FBgn0260635	Diap1
CG12295	FBgn0261041	stj
CG12323	FBgn0029134	ProsÎ²5
CG12340	FBgn0027499	wde
CG12345	FBgn0000303	ChAT
CG12345	FBgn0270928	VAChT
CG12348	FBgn0003380	Sh
CG12358	FBgn0038100	Paip2
CG12363	FBgn0024432	Dlc90F
CG12384	FBgn0033624	CG12384
CG1240	FBgn0035370	Non2
CG12400	FBgn0031505	ND-B14.5B
CG12403	FBgn0265262	Vha68-1
CG12414	FBgn0266347	nAChRÎ±4
CG1242	FBgn0001233	Hsp83
CG12437	FBgn0003209	raw
CG12443	FBgn0033652	ths
CG12531	FBgn0031064	CG12531
CG12537	FBgn0264493	rdx
CG12547	FBgn0250830	CG12547
CG12559	FBgn0003256	rl
CG12598	FBgn0026086	Adar
CG12605	FBgn0035481	CG12605
CG1263	FBgn0261602	RpL8
CG12664	FBgn0030090	fend
CG12673	FBgn0037153	olf413
CG1268	FBgn0035521	VhaM9.7-a
CG12690	FBgn0029504	CHES-1-like
CG12740	FBgn0035422	RpL28
CG12749	FBgn0004237	Hrb87F
CG12775	FBgn0032987	RpL21
CG12822	FBgn0033229	CG12822
CG12858	FBgn0033958	jef
CG12859	FBgn0033961	ND-B15
CG12864	FBgn0026427	Su(var)2-HP2
CG12954	FBgn0034001	mRpL41
CG12991	FBgn0030847	CG12991
CG13109	FBgn0041092	tai
CG13140	FBgn0032233	dpr19
CG1316	FBgn0035526	CG1316
CG1317	FBgn0035333	CG1317
CG1320	FBgn0035335	mRpL23
CG13213	FBgn0033609	Fbl6
CG13240	FBgn0001989	ND-B17
CG13298	FBgn0035692	Sf3b6
CG13316	FBgn0023215	Mnt
CG13349	FBgn0033886	Rpn13
CG13363	FBgn0025639	Hmt4-20
CG13364	FBgn0026879	CG13364
CG13365	FBgn0029529	CG13365
CG13387	FBgn0020497	emb
CG13389	FBgn0010265	RpS13
CG1341	FBgn0028687	Rpt1
CG13425	FBgn0267791	HnRNP-K
CG13439	FBgn0040726	dpr1
CG1347	FBgn0037363	Atg17
CG1349	FBgn0039802	dj-1Î²
CG13551	FBgn0040660	CG13551
CG13585	FBgn0035020	CG13585
CG13623	FBgn0039205	CG13623
CG13624	FBgn0039209	REPTOR
CG13746	FBgn0033341	MrgBP
CG13772	FBgn0031866	Nlg2
CG13778	FBgn0031885	Mnn1
CG13784	FBgn0031897	CG13784
CG13830	FBgn0039054	Cow
CG13868	FBgn0034501	CG13868
CG13887	FBgn0035165	CG13887
CG1391	FBgn0003464	sol
CG13917	FBgn0035237	CG13917
CG13928	FBgn0035246	CG13928
CG13954	FBgn0033405	CG13954
CG1399	FBgn0033212	LRR
CG14001	FBgn0043362	bchs
CG14023	FBgn0031698	Ncoa6
CG14028	FBgn0015031	cype
CG14039	FBgn0028572	qtc
CG1404	FBgn0020255	Ran
CG14064	FBgn0039584	beat-VI
CG14073	FBgn0036814	CG14073
CG14080	FBgn0036844	Mkp3
CG1412	FBgn0031118	RhoGAP19D
CG14162	FBgn0040823	dpr6
CG1417	FBgn0003423	slgA
CG14206	FBgn0285947	RpS10b
CG14207	FBgn0031037	CG14207
CG14213	FBgn0031047	Rcd-1
CG14214	FBgn0031049	Sec61Î³
CG14217	FBgn0031030	Tao
CG14235	FBgn0031066	COX6B
CG14283	FBgn0038678	mRpL55
CG1429	FBgn0011656	Mef2
CG14296	FBgn0038659	EndoA
CG14307	FBgn0004652	fru
CG14334	FBgn0038498	beat-IIa
CG14407	FBgn0030584	CG14407
CG14408	FBgn0030581	CG14408
CG14413	FBgn0030572	mRpS25
CG14414	FBgn0030571	CG14414
CG14437	FBgn0029502	Coq7
CG14438	FBgn0287725	sov
CG1444	FBgn0029975	spidey
CG14442	FBgn0029893	CG14442
CG14446	FBgn0262730	dtn
CG14464	FBgn0033000	CG14464
CG14472	FBgn0011230	poe
CG14476	FBgn0027588	GCS2Î±
CG14478	FBgn0028953	CG14478
CG14482	FBgn0034245	UQCR-6.4
CG14483	FBgn0034248	CG14483
CG14509	FBgn0039647	jus
CG1458	FBgn0062442	Cisd2
CG14616	FBgn0027279	l(1)G0196
CG14617	FBgn0031191	Cp110
CG14619	FBgn0031187	Usp2
CG14648	FBgn0263594	lost
CG14669	FBgn0037326	CG14669
CG1469	FBgn0015221	Fer2LCH
CG14724	FBgn0019624	COX5A
CG1475	FBgn0037351	RpL13A
CG14750	FBgn0022027	Vps25
CG14762	FBgn0033250	CG14762
CG14767	FBgn0040777	CG14767
CG14792	FBgn0003517	sta
CG14806	FBgn0029594	Coa8
CG14812	FBgn0026090	Lamtor5
CG14817	FBgn0026089	CG14817
CG14818	FBgn0026088	CG14818
CG14821	FBgn0035719	tow
CG14853	FBgn0038246	CG14853
CG1490	FBgn0030366	Usp7
CG14938	FBgn0020309	crol
CG1495	FBgn0016126	CaMKI
CG14975	FBgn0064227	Rdh
CG14977	FBgn0035469	Lamtor4
CG14981	FBgn0035473	mge
CG14989	FBgn0035495	CG14989
CG14998	FBgn0264693	ens
CG15004	FBgn0035505	Teh2
CG15012	FBgn0035528	CG15012
CG15015	FBgn0035533	Cip4
CG1506	FBgn0023416	Ac3
CG1507	FBgn0022361	Pur-Î±
CG15081	FBgn0010551	Phb2
CG1511	FBgn0025936	Eph
CG1513	FBgn0033463	CG1513
CG15154	FBgn0041184	Socs36E
CG1519	FBgn0023175	ProsÎ±7
CG15201	FBgn0030272	CG15201
CG15224	FBgn0000259	CkIIÎ²
CG1524	FBgn0004403	RpS14a
CG1527	FBgn0004404	RpS14b
CG15274	FBgn0053310	CG33310
CG15274	FBgn0260446	GABA-B-R1
CG15304	FBgn0083167	Neb-cGP
CG15312	FBgn0030174	CG15312
CG15319	FBgn0261617	nej
CG1539	FBgn0082582	tmod
CG15427	FBgn0010473	tutl
CG15431	FBgn0031602	CG15431
CG15441	FBgn0019982	Gs1l
CG15442	FBgn0053002	mRpL27
CG15442	FBgn0285948	RpL27A
CG1548	FBgn0029093	cathD
CG15532	FBgn0010113	hdc
CG1554	FBgn0003277	Polr2A
CG15609	FBgn0034180	Ehbp1
CG15628	FBgn0031632	CG15628
CG15669	FBgn0043070	MESK2
CG15693	FBgn0019936	RpS20
CG15697	FBgn0038834	RpS30
CG15735	FBgn0030364	Lsm12a
CG15760	FBgn0030508	CG15760
CG15765	FBgn0029814	CG15765
CG15771	FBgn0029801	CG15771
CG15772	FBgn0029799	CG15772
CG1578	FBgn0030336	CG1578
CG15792	FBgn0287873	zip
CG15811	FBgn0004574	Rop
CG15862	FBgn0022382	Pka-R2
CG1587	FBgn0024811	Crk
CG15891	FBgn0029860	CG15891
CG15899	FBgn0264386	Ca-Î±1T
CG1600	FBgn0033188	Drat
CG1618	FBgn0000346	comt
CG1633	FBgn0040309	Jafrac1
CG1634	FBgn0264975	Nrg
CG1640	FBgn0030478	CG1640
CG1646	FBgn0039600	Prp39
CG1651	FBgn0011747	Ank
CG1659	FBgn0025549	unc-119
CG16707	FBgn0045823	vsg
CG16711	FBgn0036032	CG16711
CG16747	FBgn0014184	Oda
CG16757	FBgn0010905	Spn
CG16757	FBgn0260480	CG32295
CG1677	FBgn0029941	CG1677
CG16779	FBgn0037698	CG16779
CG16791	FBgn0038881	aus
CG16817	FBgn0037728	p23
CG1688	FBgn0027589	CG1688
CG16901	FBgn0263396	sqd
CG16916	FBgn0028686	Rpt3
CG1693	FBgn0015558	tty
CG16932	FBgn0035060	Eps-15
CG16944	FBgn0003360	sesB
CG1695	FBgn0031116	CG1695
CG1696	FBgn0029067	Dd
CG16973	FBgn0010909	msn
CG16974	FBgn0032479	CG16974
CG16982	FBgn0025638	Roc1a
CG16983	FBgn0025637	SkpA
CG17023	FBgn0024804	Dbp80
CG17046	FBgn0001316	klar
CG1705	FBgn0002723	Met
CG17051	FBgn0015379	dod
CG17059	FBgn0040754	CG17059
CG17065	FBgn0031099	CG17065
CG1709	FBgn0028671	Vha100-1
CG17090	FBgn0035142	Hipk
CG1710	FBgn0039904	Hcf
CG17117	FBgn0001235	hth
CG17124	FBgn0032297	CG17124
CG17136	FBgn0260944	Rbp1
CG17146	FBgn0022709	Ak1
CG1715	FBgn0010808	Chchd3
CG17202	FBgn0038043	CG17202
CG1721	FBgn0014869	Pglym78
CG17228	FBgn0004595	pros
CG17245	FBgn0025740	PlexB
CG17246	FBgn0261439	SdhA
CG17248	FBgn0013342	nSyb
CG1725	FBgn0001624	dlg1
CG17255	FBgn0261710	nocte
CG17273	FBgn0027493	AdSS
CG1728	FBgn0027359	Tim8
CG17280	FBgn0034877	levy
CG17299	FBgn0264357	SNF4AÎ³
CG17332	FBgn0027779	VhaSFD
CG17342	FBgn0017581	Lk6
CG17358	FBgn0011290	Taf12
CG17360	FBgn0037949	prd1
CG17369	FBgn0005671	Vha55
CG1737	FBgn0030293	CG1737
CG17383	FBgn0039350	jigr1
CG1740	FBgn0031145	Ntf-2
CG17420	FBgn0028697	RpL15
CG1743	FBgn0001145	Gs2
CG17454	FBgn0039977	Spf30
CG1746	FBgn0039830	ATPsynC
CG17471	FBgn0039924	PIP4K
CG17484	FBgn0260799	p120ctn
CG17489	FBgn0064225	RpL5
CG17493	FBgn0040010	CG17493
CG17494	FBgn0040011	Slmap
CG17508	FBgn0039970	CG17508
CG17510	FBgn0039969	Fis1
CG17514	FBgn0287182	l(3)80Fj
CG17520	FBgn0264492	CkIIÎ±
CG17521	FBgn0024733	RpL10
CG17642	FBgn0031357	mRpL48
CG1765	FBgn0000546	EcR
CG17654	FBgn0000579	Eno
CG17678	FBgn0000384	cta
CG17680	FBgn0062440	EMRE
CG17683	FBgn0262115	CG17683
CG17684	FBgn0263780	CG17684
CG17686	FBgn0024807	DIP1
CG17697	FBgn0001085	fz
CG17698	FBgn0040056	CG17698
CG1770	FBgn0041210	HDAC4
CG17704	FBgn0026401	Nipped-B
CG17715	FBgn0041004	CG17715
CG17716	FBgn0000633	tei
CG17734	FBgn0037890	CG17734
CG17737	FBgn0035423	eIF1
CG17743	FBgn0002521	pho
CG17759	FBgn0004435	GÎ±q
CG17762	FBgn0030412	Tomosyn
CG17765	FBgn0033529	CG17765
CG17766	FBgn0023510	Rbcn-3B
CG17778	FBgn0023534	CG17778
CG17816	FBgn0037525	CG17816
CG1782	FBgn0023143	Uba1
CG1783	FBgn0024728	Slip1
CG17836	FBgn0261113	Xrp1
CG17838	FBgn0038826	Syp
CG17839	FBgn0036454	CG17839
CG17841	FBgn0028480	CG17841
CG17870	FBgn0004907	14-3-3Î¶
CG17883	FBgn0040005	CG17883
CG17888	FBgn0016694	Pdp1
CG17903	FBgn0284248	Cyt-c-p
CG17907	FBgn0000024	Ace
CG17912	FBgn0032600	BuGZ
CG17921	FBgn0010228	HmgZ
CG1793	FBgn0039923	MED26
CG1794	FBgn0033438	Mmp2
CG17947	FBgn0010215	Î±-Cat
CG17998	FBgn0261988	Gprk2
CG18001	FBgn0040007	RpL38
CG18009	FBgn0261793	Trf2
CG18024	FBgn0029123	SoxN
CG18069	FBgn0264607	CaMKII
CG18076	FBgn0013733	shot
CG18102	FBgn0003392	shi
CG18135	FBgn0036837	CG18135
CG1814	FBgn0033426	Nt5c
CG18208	FBgn0038653	OctÎ±2R
CG1821	FBgn0285949	RpL31
CG18212	FBgn0038535	alt
CG18214	FBgn0024277	trio
CG1822	FBgn0014133	bif
CG18250	FBgn0034072	Dg
CG18285	FBgn0013467	igl
CG1830	FBgn0011754	PhKÎ³
CG18314	FBgn0035538	DopEcR
CG18317	FBgn0031359	Rim2
CG18319	FBgn0000173	ben
CG1836	FBgn0026777	Rad23
CG1837	FBgn0030329	prtp
CG18389	FBgn0264490	Eip93F
CG18397	FBgn0032723	ssp3
CG18402	FBgn0283499	InR
CG18405	FBgn0011259	Sema1a
CG18426	FBgn0021895	ytr
CG18428	FBgn0039149	CG18428
CG18437	FBgn0039536	unc80
CG1848	FBgn0283712	LIMK1
CG18497	FBgn0016977	spen
CG18582	FBgn0025743	mbt
CG18593	FBgn0036237	viaf
CG18619	FBgn0032202	REPTOR-BP
CG1862	FBgn0040324	Ephrin
CG1864	FBgn0014859	Hr38
CG1866	FBgn0039581	Moca-cyp
CG18660	FBgn0028704	Nckx30C
CG1873	FBgn0000557	eEF1Î±2
CG18734	FBgn0004598	Fur2
CG1877	FBgn0015509	Cul1
CG18812	FBgn0042135	Gdap2
CG18815	FBgn0042138	Apt1
CG1883	FBgn0039757	RpS7
CG1906	FBgn0086361	alph
CG1909	FBgn0039911	CG1909
CG1910	FBgn0022349	CG1910
CG1912	FBgn0013972	GycÎ±99B
CG1913	FBgn0003884	Î±Tub84B
CG1921	FBgn0014388	sty
CG1922	FBgn0028996	onecut
CG1938	FBgn0030276	Dlic
CG1943	FBgn0037468	CG1943
CG1945	FBgn0005632	faf
CG1954	FBgn0003093	Pkc98E
CG1956	FBgn0004636	Rap1
CG1963	FBgn0024841	Pcd
CG1965	FBgn0037466	CG1965
CG1970	FBgn0039909	ND-49
CG1975	FBgn0028408	Drep2
CG1976	FBgn0039883	RhoGAP100F
CG1977	FBgn0024510	dlt
CG1977	FBgn0250789	Î±-Spec
CG1981	FBgn0026869	Tdg
CG1987	FBgn0030479	Rbp1-like
CG1989	FBgn0026749	Yippee
CG2009	FBgn0026262	Taf3
CG2013	FBgn0004436	Ubc6
CG2017	FBgn0037391	CG2017
CG2028	FBgn0015024	CkIÎ±
CG2033	FBgn0010198	RpS15Aa
CG2038	FBgn0028836	CSN7
CG2040	FBgn0010114	hig
CG2041	FBgn0039907	lgs
CG2048	FBgn0002413	dco
CG2082	FBgn0027608	CG2082
CG2096	FBgn0000711	flw
CG2099	FBgn0037328	RpL35A
CG2105	FBgn0033192	Corin
CG2140	FBgn0264294	Cyt-b5
CG2151	FBgn0020653	Trxr-1
CG2152	FBgn0086768	Pcmt
CG2161	FBgn0017550	Rga
CG2168	FBgn0017545	RpS3A
CG2171	FBgn0086355	Tpi
CG2177	FBgn0039902	Zip102B
CG2179	FBgn0010772	Xe7
CG2182	FBgn0037360	CG2182
CG2185	FBgn0037358	elm
CG2204	FBgn0001122	GÎ±o
CG2207	FBgn0022893	Df31
CG2210	FBgn0000150	awd
CG2212	FBgn0003656	sws
CG2216	FBgn0015222	Fer1HCH
CG2219	FBgn0039889	Arl4
CG2221	FBgn0028331	l(1)G0289
CG2225	FBgn0032957	CG2225
CG2238	FBgn0000559	eEF2
CG2239	FBgn0027654	jdp
CG2248	FBgn0010333	Rac1
CG2249	FBgn0040773	COX7C
CG2252	FBgn0004656	fs(1)h
CG2257	FBgn0029996	UbcE2H
CG2258	FBgn0029997	CG2258
CG2262	FBgn0025800	Smox
CG2269	FBgn0033484	CG2269
CG2272	FBgn0030018	slpr
CG2286	FBgn0017566	ND-75
CG2297	FBgn0033268	Obp44a
CG2302	FBgn0015519	nAChRÎ±3
CG2316	FBgn0039890	Abcd1
CG2358	FBgn0262801	twr
CG2368	FBgn0263102	psq
CG2380	FBgn0042696	NfI
CG2381	FBgn0039900	Syt7
CG2446	FBgn0030328	Amun
CG2469	FBgn0035205	Ctr9
CG2512	FBgn0003885	Î±Tub84D
CG2519	FBgn0037336	CG2519
CG2520	FBgn0086372	lap
CG2530	FBgn0010313	corto
CG2621	FBgn0003371	sgg
CG2637	FBgn0262743	Fs(2)Ket
CG2674	FBgn0005278	Sam-S
CG2682	FBgn0033015	d4
CG2718	FBgn0001142	Gs1
CG2746	FBgn0285950	RpL19
CG2747	FBgn0037541	CG2747
CG2791	FBgn0037533	CD98hc
CG2803	FBgn0035083	Tina-1
CG2835	FBgn0001123	GÎ±s
CG2852	FBgn0034753	CG2852
CG2865	FBgn0023526	CG2865
CG2922	FBgn0250753	kra
CG2924	FBgn0023528	CG2924
CG2926	FBgn0037344	CG2926
CG2934	FBgn0285910	VhaAC39-1
CG2944	FBgn0026238	gus
CG2950	FBgn0031637	mxt
CG2957	FBgn0037529	mRpS9
CG2960	FBgn0003941	RpL40
CG2968	FBgn0028342	ATPsynÎ´
CG2969	FBgn0020762	Atet
CG2984	FBgn0022768	Pp2C1
CG2986	FBgn0015521	RpS21
CG2993	FBgn0037521	CG2993
CG2995	FBgn0040372	G9a
CG2998	FBgn0030136	RpS28b
CG2999	FBgn0025726	unc-13
CG3001	FBgn0001186	Hex-A
CG30040	FBgn0086677	jeb
CG30116	FBgn0028496	CG30116
CG30118	FBgn0284257	Ttd14
CG30122	FBgn0050122	CG30122
CG3017	FBgn0020764	Alas
CG30172	FBgn0050172	CG30172
CG3018	FBgn0010602	lwr
CG30185	FBgn0050185	AIMP3
CG3019	FBgn0003638	su(w[a])
CG3028	FBgn0016672	Ipp
CG30296	FBgn0050296	RIC-3
CG30389	FBgn0050389	CG30389
CG30415	FBgn0250838	roh
CG30423	FBgn0050423	CG30423
CG30425	FBgn0066084	RpL41
CG30463	FBgn0050463	Pgant9
CG30483	FBgn0040752	Prosap
CG3056	FBgn0024987	ssx
CG3061	FBgn0038195	CG3061
CG3069	FBgn0026324	Taf10b
CG3082	FBgn0021979	l(2)k09913
CG31000	FBgn0011224	heph
CG31012	FBgn0027598	cindr
CG31030	FBgn0051030	VhaAC45RP
CG31045	FBgn0026059	Mhcl
CG31136	FBgn0013343	Syx1A
CG31137	FBgn0011725	twin
CG3114	FBgn0005427	ewg
CG31140	FBgn0051140	CG31140
CG31151	FBgn0051151	wge
CG31158	FBgn0051158	Efa6
CG31196	FBgn0020238	14-3-3Îµ
CG31211	FBgn0051211	CG31211
CG31221	FBgn0051221	CG31221
CG31224	FBgn0051224	CG31224
CG3125	FBgn0261383	IntS6
CG3127	FBgn0250906	Pgk
CG3129	FBgn0015794	Rab18
CG31324	FBgn0051324	Cipc
CG3136	FBgn0033010	Atf6
CG31363	FBgn0051363	Jupiter
CG3139	FBgn0004242	Syt1
CG3140	FBgn0283494	Ak2
CG3151	FBgn0010263	Rbp9
CG31605	FBgn0261822	Bsg
CG3161	FBgn0262736	Vha16-1
CG31635	FBgn0051635	CG31635
CG31641	FBgn0266521	stai
CG31651	FBgn0031681	Pgant5
CG3166	FBgn0000097	aop
CG31660	FBgn0051660	smog
CG31665	FBgn0051665	wry
CG31666	FBgn0086758	chinmo
CG31688	FBgn0263355	CG31688
CG31694	FBgn0051694	Ifrd1
CG31712	FBgn0051712	CG31712
CG31716	FBgn0051716	Cnot4
CG31795	FBgn0031294	IA-2
CG31808	FBgn0062978	CG31808
CG3186	FBgn0285952	eEF5
CG31884	FBgn0040070	Trx-2
CG3192	FBgn0029888	ND-ASHI
CG3195	FBgn0034968	RpL12
CG3198	FBgn0029887	CG3198
CG31992	FBgn0051992	gw
CG31998	FBgn0051998	CG31998
CG32000	FBgn0052000	anne
CG32016	FBgn0052016	4E-T
CG32017	FBgn0052017	CG32017
CG32018	FBgn0011642	Zyx
CG3203	FBgn0029897	RpL17
CG32031	FBgn0000116	Argk1
CG32038	FBgn0266124	ghi
CG3204	FBgn0283666	Rap2l
CG32062	FBgn0052062	Rbfox1
CG32066	FBgn0052066	CG32066
CG32067	FBgn0010762	simj
CG32103	FBgn0052103	SCaMC
CG32130	FBgn0086708	stv
CG32138	FBgn0267795	Frl
CG3214	FBgn0031436	ND-B17.2
CG32149	FBgn0036518	RhoGAP71E
CG32156	FBgn0005536	Mbs
CG32169	FBgn0260943	Rbp6
CG32177	FBgn0052177	Ndfip
CG32190	FBgn0052190	NUCB1
CG32217	FBgn0014037	Su(Tpl)
CG32230	FBgn0052230	ND-MLRQ
CG32264	FBgn0052264	CG32264
CG32267	FBgn0052267	CG32267
CG32276	FBgn0047135	CG32276
CG32278	FBgn0052278	CG32278
CG3231	FBgn0086129	snama
CG32346	FBgn0000541	E(bx)
CG32369	FBgn0052369	CG32369
CG32423	FBgn0052423	shep
CG32425	FBgn0052425	CG32425
CG32428	FBgn0052428	CG32428
CG32432	FBgn0052432	CG32432
CG32434	FBgn0026179	siz
CG32435	FBgn0021760	chb
CG32441	FBgn0052441	EMC10
CG32446	FBgn0052446	Atox1
CG32451	FBgn0052451	SPoCk
CG32464	FBgn0013576	mtd
CG32486	FBgn0266918	CG32486
CG3249	FBgn0263987	spoon
CG32490	FBgn0041605	cpx
CG32491	FBgn0002781	mod(mdg4)
CG32498	FBgn0000479	dnc
CG32506	FBgn0052506	tbc
CG32513	FBgn0031150	bves
CG32529	FBgn0052529	Hers
CG32538	FBgn0086778	nAChRÎ±7
