ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio1	desp	module.id
GO:0098916	anterograde trans-synaptic signaling	0.269230769230769	319/12234	3.29449833982395e-06	9.14267333440614e-05	6.50174269864475e-05	CaMKII/CG7781/gammaSnap1/nSyb/Sap47/shi/veli	7	7/26	anterograde trans-synaptic signaling	4
GO:0099537	trans-synaptic signaling	0.269230769230769	320/12234	3.36352530697216e-06	9.14267333440614e-05	6.50174269864475e-05	CaMKII/CG7781/gammaSnap1/nSyb/Sap47/shi/veli	7	7/26	trans-synaptic signaling	4
GO:0006091	generation of precursor metabolites and energy	0.192307692307692	224/12234	9.45606519358456e-05	0.00134636356803894	0.000957456225114828	Eno/Gapdh2/Pgi/Pglym78/PyK	5	5/26	generation of precursor metabolites and energy	4
GO:0000266	mitochondrial fission	0.0769230769230769	16/12234	0.000511729193450128	0.00624518485067708	0.00444121577129649	Fis1/shi	2	2/26	mitochondrial fission	4
GO:0010623	programmed cell death involved in cell development	0.115384615384615	101/12234	0.00123694851683398	0.0134490038739403	0.00956415695312777	Atg8a/lola/shi	3	3/26	programmed cell death involved in cell development	4
GO:0001505	regulation of neurotransmitter levels	0.115384615384615	110/12234	0.00158175503123179	0.0163612431307526	0.0116351737807147	gammaSnap1/nSyb/veli	3	3/26	regulation of neurotransmitter levels	4
GO:0007430	terminal branching, open tracheal system	0.0769230769230769	28/12234	0.00158687642405292	0.0163612431307526	0.0116351737807147	Vha13/VhaAC39-1	2	2/26	terminal branching, open tracheal system	4
GO:0099003	vesicle-mediated transport in synapse	0.115384615384615	112/12234	0.0016657439888494	0.0166019150888657	0.0118063258157045	gammaSnap1/nSyb/shi	3	3/26	vesicle-mediated transport in synapse	4
GO:0099504	synaptic vesicle cycle	0.115384615384615	112/12234	0.0016657439888494	0.0166019150888657	0.0118063258157045	gammaSnap1/nSyb/shi	3	3/26	synaptic vesicle cycle	4
GO:0000422	autophagy of mitochondrion	0.0769230769230769	32/12234	0.00207140809863415	0.0199790652094068	0.0142079604728047	Atg8a/Fis1	2	2/26	autophagy of mitochondrion	4
GO:0061726	mitochondrion disassembly	0.0769230769230769	32/12234	0.00207140809863415	0.0199790652094068	0.0142079604728047	Atg8a/Fis1	2	2/26	mitochondrion disassembly	4
GO:0006836	neurotransmitter transport	0.115384615384615	128/12234	0.00243942869466512	0.0231271602229964	0.0164467043303829	gammaSnap1/nSyb/veli	3	3/26	neurotransmitter transport	4
GO:0071453	cellular response to oxygen levels	0.0769230769230769	35/12234	0.00247514758239426	0.0231271602229964	0.0164467043303829	Vha68-1/VhaAC39-1	2	2/26	cellular response to oxygen levels	4
GO:0012501	programmed cell death	0.153846153846154	320/12234	0.00435733729567771	0.0356943520933599	0.0253837673749646	Atg8a/Fis1/lola/shi	4	4/26	programmed cell death	4
GO:0007611	learning or memory	0.115384615384615	167/12234	0.00515727034563296	0.0395390726498527	0.0281179111961635	CaMKII/Sap47/shi	3	3/26	learning or memory	4
GO:0050890	cognition	0.115384615384615	167/12234	0.00515727034563296	0.0395390726498527	0.0281179111961635	CaMKII/Sap47/shi	3	3/26	cognition	4
GO:0031667	response to nutrient levels	0.115384615384615	172/12234	0.00559805343551025	0.0423751386637358	0.0301347580006148	Atg8a/CaMKII/shi	3	3/26	response to nutrient levels	4
GO:0140029	exocytic process	0.0769230769230769	54/12234	0.00580725016302694	0.0428732789813594	0.0304890067038711	gammaSnap1/nSyb	2	2/26	exocytic process	4
GO:0007033	vacuole organization	0.0769230769230769	56/12234	0.00623334222669625	0.0454577884337117	0.0323269609702861	Atg8a/Eno	2	2/26	vacuole organization	4
GO:0061025	membrane fusion	0.0769230769230769	62/12234	0.00759453675356894	0.0494742447576105	0.0351832333780578	nSyb/shi	2	2/26	membrane fusion	4
GO:0061919	process utilizing autophagic mechanism	0.115384615384615	193/12234	0.00769415512116685	0.0494742447576105	0.0351832333780578	Atg8a/Fis1/shi	3	3/26	process utilizing autophagic mechanism	4
