module.id	SYMBOL	FLYBASE	GENENAME	phylostrata	phylostrata_name
2	eEF1alpha1	FBgn0284245	eukaryotic translation elongation factor 1 alpha 1	1	cellular_organisms
2	RpL31	FBgn0285949	Ribosomal protein L31	1	cellular_organisms
2	eEF1alpha2	FBgn0000557	eukaryotic translation elongation factor 1 alpha 2	1	cellular_organisms
2	RpS8	FBgn0039713	Ribosomal protein S8	1	cellular_organisms
2	RpL38	FBgn0040007	Ribosomal protein L38	2	Eukaryota
2	RpL5	FBgn0064225	Ribosomal protein L5	1	cellular_organisms
2	RpS15Aa	FBgn0010198	Ribosomal protein S15Aa	1	cellular_organisms
2	RpL28	FBgn0035422	Ribosomal protein L28	2	Eukaryota
2	RpL29	FBgn0016726	Ribosomal protein L29	2	Eukaryota
2	RpS3A	FBgn0017545	Ribosomal protein S3A	1	cellular_organisms
2	RpS2	FBgn0004867	Ribosomal protein S2	1	cellular_organisms
2	RpL27	FBgn0039359	Ribosomal protein L27	1	cellular_organisms
2	RpLP1	FBgn0002593	Ribosomal protein LP1	2	Eukaryota
2	RpL26	FBgn0036825	Ribosomal protein L26	1	cellular_organisms
2	RpS21	FBgn0015521	Ribosomal protein S21	2	Eukaryota
2	RpL27A	FBgn0285948	Ribosomal protein L27A	1	cellular_organisms
2	sta	FBgn0003517	stubarista	1	cellular_organisms
2	eIF3m	FBgn0033902	eukaryotic translation initiation factor 3 subunit m	2	Eukaryota
2	RpL9	FBgn0015756	Ribosomal protein L9	1	cellular_organisms
2	RpS9	FBgn0010408	Ribosomal protein S9	1	cellular_organisms
2	RpS16	FBgn0034743	Ribosomal protein S16	1	cellular_organisms
2	RpS5a	FBgn0002590	Ribosomal protein S5a	1	cellular_organisms
2	RpS10b	FBgn0285947	Ribosomal protein S10b	2	Eukaryota
2	ringer	FBgn0266417	ringmaker	2	Eukaryota
2	RpS14b	FBgn0004404	Ribosomal protein S14b	1	cellular_organisms
2	RpL21	FBgn0032987	Ribosomal protein L21	1	cellular_organisms
2	RpS3	FBgn0002622	Ribosomal protein S3	1	cellular_organisms
2	Tctp	FBgn0037874	Translationally controlled tumor protein	2	Eukaryota
3	ND-MLRQ	FBgn0052230	NADH dehydrogenase (ubiquinone) MLRQ subunit	2	Eukaryota
3	ND-B14.5A	FBgn0025839	NADH dehydrogenase (ubiquinone) B14.5 A subunit	3	Opisthokonta
3	Pdha	FBgn0028325	Pyruvate dehydrogenase E1 alpha subunit	1	cellular_organisms
3	ND-ASHI	FBgn0029888	NADH dehydrogenase (ubiquinone) ASHI subunit	4	Metazoa
3	ATPsyndelta	FBgn0028342	ATP synthase, delta subunit	1	cellular_organisms
3	Neb-cGP	FBgn0083167	Neb-cGP	6	Bilateria
3	blw	FBgn0011211	bellwether	1	cellular_organisms
3	roh	FBgn0250838	reduction of Rh1	7	Protostomia
3	levy	FBgn0034877	levy	3	Opisthokonta
3	ATPsynF	FBgn0035032	ATP synthase, subunit F	4	Metazoa
3	CG32278	FBgn0052278	uncharacterized protein	12	Drosophila
3	ND-30	FBgn0266582	NADH dehydrogenase (ubiquinone) 30 kDa subunit	1	cellular_organisms
3	sesB	FBgn0003360	stress-sensitive B	1	cellular_organisms
3	CG11752	FBgn0030292	uncharacterized protein	10	Insecta
3	ND-B18	FBgn0030605	NADH dehydrogenase (ubiquinone) B18 subunit	2	Eukaryota
3	ND-20	FBgn0030718	NADH dehydrogenase (ubiquinone) 20 kDa subunit	1	cellular_organisms
3	UQCR-14	FBgn0030733	Ubiquinol-cytochrome c reductase 14 kDa subunit	2	Eukaryota
3	ND-18	FBgn0031021	NADH dehydrogenase (ubiquinone) 18 kDa subunit	1	cellular_organisms
3	COX6B	FBgn0031066	Cytochrome c oxidase subunit 6B	2	Eukaryota
3	Tom20	FBgn0036928	Translocase of outer membrane 20	3	Opisthokonta
3	CG7630	FBgn0040793	uncharacterized protein	7	Protostomia
3	QIL1	FBgn0036726	QIL1	6	Bilateria
3	Mpcp2	FBgn0026409	Mitochondrial phosphate carrier protein 2	2	Eukaryota
3	CG11267	FBgn0036334	uncharacterized protein	1	cellular_organisms
3	ND-13B	FBgn0047038	NADH dehydrogenase (ubiquinone) 13 kDa B subunit	2	Eukaryota
3	ATPsynB	FBgn0019644	ATP synthase, subunit B	3	Opisthokonta
3	ND-PDSW	FBgn0021967	NADH dehydrogenase (ubiquinone) PDSW subunit	3	Opisthokonta
3	ND-B14.5B	FBgn0031505	NADH dehydrogenase (ubiquinone) B14.5 B subunit	6	Bilateria
3	RFeSP	FBgn0021906	Rieske iron-sulfur protein	1	cellular_organisms
3	ND-15	FBgn0031228	NADH dehydrogenase (ubiquinone) 15 kDa subunit	6	Bilateria
3	Gpdh1	FBgn0001128	Glycerol-3-phosphate dehydrogenase 1	1	cellular_organisms
3	COX5B	FBgn0031830	Cytochrome c oxidase subunit 5B	2	Eukaryota
3	porin	FBgn0004363	porin	2	Eukaryota
3	ATPsynE	FBgn0038224	ATP synthase, subunit E	3	Opisthokonta
3	UQCR-C1	FBgn0038271	Ubiquinol-cytochrome c reductase core protein 1	1	cellular_organisms
3	ATPsynO	FBgn0016691	ATP synthase, oligomycin sensitivity conferring protein	1	cellular_organisms
3	NP15.6	FBgn0027785	NP15.6	4	Metazoa
3	SdhD	FBgn0039112	Succinate dehydrogenase, subunit D	3	Opisthokonta
3	Cisd2	FBgn0062442	CDGSH iron sulfur domain 2	1	cellular_organisms
3	ATPsyngamma	FBgn0020235	ATP synthase, gamma subunit	1	cellular_organisms
3	Tpi	FBgn0086355	Triose phosphate isomerase	1	cellular_organisms
3	ATPsynC	FBgn0039830	ATP synthase, subunit C	1	cellular_organisms
3	ND-B15	FBgn0033961	NADH dehydrogenase (ubiquinone) B15 subunit	4	Metazoa
3	CG6329	FBgn0033872	uncharacterized protein	2	Eukaryota
3	ox	FBgn0011227	oxen	2	Eukaryota
3	ND-B14	FBgn0033570	NADH dehydrogenase (ubiquinone) B14 subunit	2	Eukaryota
3	COX7C	FBgn0040773	Cytochrome c oxidase subunit 7C	5	Eumetazoa
3	CG14757	FBgn0033274	uncharacterized protein	1	cellular_organisms
3	Gapdh1	FBgn0001091	Glyceraldehyde 3 phosphate dehydrogenase 1	1	cellular_organisms
3	Tsp42Ej	FBgn0033132	Tetraspanin 42Ej	5	Eumetazoa
3	ND-49	FBgn0039909	NADH dehydrogenase (ubiquinone) 49 kDa subunit	1	cellular_organisms
3	ND-MWFE	FBgn0085468	NADH dehydrogenase (ubiquinone) MWFE subunit	6	Bilateria
3	ND-B17.2	FBgn0031436	NADH dehydrogenase (ubiquinone) B17.2 subunit	1	cellular_organisms
3	ND-19	FBgn0035046	NADH dehydrogenase (ubiquinone) 19 kDa subunit	2	Eukaryota
3	UQCR-11	FBgn0260008	Ubiquinol-cytochrome c reductase 11 kDa subunit	2	Eukaryota
3	UQCR-Q	FBgn0036728	Ubiquinol-cytochrome c reductase ubiquinone-binding protein	2	Eukaryota
3	Scsalpha1	FBgn0004888	Succinyl-coenzyme A synthetase alpha subunit 1	1	cellular_organisms
3	CG31808	FBgn0062978	uncharacterized protein	11	Diptera
3	COX7A	FBgn0040529	Cytochrome c oxidase subunit 7A	6	Bilateria
3	ATPsynG	FBgn0010612	ATP synthase, subunit G	3	Opisthokonta
3	cype	FBgn0015031	cyclope	6	Bilateria
3	UQCR-6.4	FBgn0034245	Ubiquinol-cytochrome c reductase 6.4 kDa subunit	8	Arthropoda
3	Pgk	FBgn0250906	Phosphoglycerate kinase	1	cellular_organisms
3	UQCR-C2	FBgn0250814	Ubiquinol-cytochrome c reductase core protein 2	1	cellular_organisms
3	CG7430	FBgn0036762	uncharacterized protein	1	cellular_organisms
3	ND-ACP	FBgn0011361	NADH dehydrogenase (ubiquinone) acyl carrier protein	1	cellular_organisms
3	COX4	FBgn0032833	Cytochrome c oxidase subunit 4	3	Opisthokonta
3	nrv3	FBgn0032946	nervana 3	4	Metazoa
3	COX8	FBgn0263911	Cytochrome c oxidase subunit 8	8	Arthropoda
3	ATPsynCF6	FBgn0016119	ATP synthase, coupling factor 6	4	Metazoa
3	COX5A	FBgn0019624	Cytochrome c oxidase subunit 5A	3	Opisthokonta
3	ND-42	FBgn0019957	NADH dehydrogenase (ubiquinone) 42 kDa subunit	1	cellular_organisms
3	Cchl	FBgn0038925	Cytochrome c heme lyase	2	Eukaryota
3	Idh3a	FBgn0027291	Isocitrate dehydrogenase 3a	1	cellular_organisms
3	CG44242	FBgn0265177	uncharacterized protein	10	Insecta
3	ND-24	FBgn0030853	NADH dehydrogenase (ubiquinone) 24 kDa subunit	1	cellular_organisms
3	ND-B22	FBgn0032511	NADH dehydrogenase (ubiquinone) B22 subunit	2	Eukaryota
3	ND-B17	FBgn0001989	NADH dehydrogenase (ubiquinone) B17 subunit	4	Metazoa
3	Cyt-c-p	FBgn0284248	Cytochrome c proximal	1	cellular_organisms
3	ATPsynD	FBgn0016120	ATP synthase, subunit D	2	Eukaryota
4	VhaAC39-1	FBgn0285910	Vacuolar H[+] ATPase AC39 subunit 1	2	Eukaryota
4	Gbeta5	FBgn0030011	Gbeta5	1	cellular_organisms
4	Atg8a	FBgn0052672	Autophagy-related 8a	2	Eukaryota
4	gammaSnap1	FBgn0028552	gamma Soluble NSF attachment protein 1	2	Eukaryota
4	Eno	FBgn0000579	Enolase	1	cellular_organisms
4	CG3662	FBgn0031285	uncharacterized protein	1	cellular_organisms
4	CG7407	FBgn0037134	uncharacterized protein	11	Diptera
4	CG7781	FBgn0032021	uncharacterized protein	4	Metazoa
4	Sap47	FBgn0013334	Synapse-associated protein 47kD	2	Eukaryota
4	AP-2sigma	FBgn0043012	Adaptor Protein complex 2, sigma subunit	2	Eukaryota
4	PyK	FBgn0267385	Pyruvate kinase	1	cellular_organisms
4	Vha16-1	FBgn0262736	Vacuolar H[+] ATPase 16kD subunit 1	1	cellular_organisms
4	Vha36-1	FBgn0022097	Vacuolar H[+] ATPase 36kD subunit 1	1	cellular_organisms
4	Vha14-1	FBgn0262512	Vacuolar H[+] ATPase 14kD subunit 1	1	cellular_organisms
4	Pgi	FBgn0003074	Phosphoglucose isomerase	1	cellular_organisms
4	Pglym78	FBgn0014869	Phosphoglyceromutase 78	1	cellular_organisms
4	RNASEK	FBgn0262116	Ribonuclease kappa	3	Opisthokonta
4	Fis1	FBgn0039969	Fission, mitochondrial 1	2	Eukaryota
4	Vha44	FBgn0262511	Vacuolar H[+] ATPase 44kD subunit	2	Eukaryota
4	CaMKII	FBgn0264607	Calcium/calmodulin-dependent protein kinase II	1	cellular_organisms
4	veli	FBgn0039269	veli	3	Opisthokonta
4	CG3793	FBgn0028507	uncharacterized protein	1	cellular_organisms
4	nSyb	FBgn0013342	neuronal Synaptobrevin	2	Eukaryota
4	Gapdh2	FBgn0001092	Glyceraldehyde 3 phosphate dehydrogenase 2	1	cellular_organisms
4	Glut4EF	FBgn0267336	Glucose transporter 4 enhancer factor	3	Opisthokonta
4	shi	FBgn0003392	shibire	2	Eukaryota
4	Vha68-1	FBgn0265262	Vacuolar H[+] ATPase 68kD subunit 1	1	cellular_organisms
4	lola	FBgn0283521	longitudinals lacking	2	Eukaryota
4	Vha13	FBgn0283536	Vacuolar H[+] ATPase 13kD subunit	2	Eukaryota
