SYMBOL	FLYBASE	GENENAME	module
Tom20	FBgn0036928	Translocase of outer membrane 20	3
Tpi	FBgn0086355	Triose phosphate isomerase	3
Tsp42Ej	FBgn0033132	Tetraspanin 42Ej	3
UQCR-11	FBgn0260008	Ubiquinol-cytochrome c reductase 11 kDa subunit	3
UQCR-14	FBgn0030733	Ubiquinol-cytochrome c reductase 14 kDa subunit	3
UQCR-6.4	FBgn0034245	Ubiquinol-cytochrome c reductase 6.4 kDa subunit	3
UQCR-C1	FBgn0038271	Ubiquinol-cytochrome c reductase core protein 1	3
UQCR-C2	FBgn0250814	Ubiquinol-cytochrome c reductase core protein 2	3
UQCR-Q	FBgn0036728	Ubiquinol-cytochrome c reductase ubiquinone-binding protein	3
Ypel	NA	NA	3
AP-2sigma	FBgn0043012	Adaptor Protein complex 2, sigma subunit	4
Atg8a	FBgn0052672	Autophagy-related 8a	4
CaMKII	FBgn0264607	Calcium/calmodulin-dependent protein kinase II	4
CG3662	FBgn0031285	uncharacterized protein	4
CG3793	FBgn0028507	uncharacterized protein	4
CG7407	FBgn0037134	uncharacterized protein	4
CG7781	FBgn0032021	uncharacterized protein	4
Eno	FBgn0000579	Enolase	4
Fis1	FBgn0039969	Fission, mitochondrial 1	4
gammaSnap1	FBgn0028552	gamma Soluble NSF attachment protein 1	4
Gapdh2	FBgn0001092	Glyceraldehyde 3 phosphate dehydrogenase 2	4
Gbeta5	FBgn0030011	Gbeta5	4
Glut4EF	FBgn0267336	Glucose transporter 4 enhancer factor	4
lola	FBgn0283521	longitudinals lacking	4
nSyb	FBgn0013342	neuronal Synaptobrevin	4
Pgi	FBgn0003074	Phosphoglucose isomerase	4
Pglym78	FBgn0014869	Phosphoglyceromutase 78	4
PyK	FBgn0267385	Pyruvate kinase	4
RNASEK	FBgn0262116	Ribonuclease kappa	4
Sap47	FBgn0013334	Synapse-associated protein 47kD	4
shi	FBgn0003392	shibire	4
veli	FBgn0039269	veli	4
Vha13	FBgn0283536	Vacuolar H[+] ATPase 13kD subunit	4
Vha14-1	FBgn0262512	Vacuolar H[+] ATPase 14kD subunit 1	4
Vha16-1	FBgn0262736	Vacuolar H[+] ATPase 16kD subunit 1	4
Vha36-1	FBgn0022097	Vacuolar H[+] ATPase 36kD subunit 1	4
Vha44	FBgn0262511	Vacuolar H[+] ATPase 44kD subunit	4
Vha68-1	FBgn0265262	Vacuolar H[+] ATPase 68kD subunit 1	4
VhaAC39-1	FBgn0285910	Vacuolar H[+] ATPase AC39 subunit 1	4
