gene	module
mRpL18	3
mRpL19	3
mRpL2	3
mRpL21	3
mRpL22	3
mRpL23	3
mRpL24	3
mRpL27	3
mRpL28	3
mRpL30	3
mRpL33	3
mRpL34	3
mRpL35	3
mRpL36	3
mRpL4	3
mRpL41	3
mRpL42	3
mRpL43	3
mRpL47	3
mRpL48	3
mRpL49	3
mRpL50	3
mRpL52	3
mRpL54	3
mRpL55	3
mRpS10	3
mRpS11	3
mRpS14	3
mRpS16	3
mRpS17	3
mRpS18A	3
mRpS18C	3
mRpS21	3
mRpS24	3
mRpS25	3
mRpS26	3
mRpS28	3
mRpS31	3
mRpS33	3
mRpS5	3
mRpS6	3
mRpS7	3
mRpS9	3
MSBP	3
Mtch	3
muc	3
Ogdh	3
ND-13A	3
ND-13B	3
ND-15	3
ND-18	3
ND-19	3
ND-20	3
ND-23	3
ND-24	3
ND-30	3
ND-39	3
ND-42	3
ND-49	3
ND-51	3
ND-75	3
ND-ACP	3
ND-AGGG	3
ND-ASHI	3
ND-B12	3
ND-B14	3
ND-B14.5A	3
ND-B14.5B	3
ND-B14.7	3
ND-B15	3
ND-B16.6	3
ND-B17	3
ND-B17.2	3
ND-B18	3
ND-B22	3
ND-MLRQ	3
ND-MWFE	3
ND-PDSW	3
ND-SGDH	3
Neb-cGP	3
Nmnat	3
Non1	3
NP15.6	3
Opa1	3
ox	3
P32	3
P5CDh1	3
P5cr	3
Pcyt1	3
Pect	3
Pex19	3
Pfdn2	3
Pfdn5	3
Pglym78	3
Phb2	3
PheRS-m	3
PhKgamma	3
POLDIP2	3
porin	3
PrBP	3
prel	3
Prosalpha5	3
Prx3	3
QIL1	3
RFeSP	3
RIC-3	3
Rim2	3
Roe1	3
roh	3
lncRNA:roX1	3
Polr2L	3
RpL15	3
RpL24-like	3
Sam-S	3
san	3
Scox	3
Scsalpha1	3
SdhA	3
SdhB	3
SdhC	3
SdhD	3
Sem1	3
sesB	3
Sf3b5	3
Sirup	3
ScsbetaA	3
slmo	3
Sod1	3
Sod2	3
spen	3
Ssadh	3
Su(P)	3
Syngr	3
Syx13	3
Tim17b	3
Tim23	3
Tim8	3
Tim9a	3
Tina-1	3
tko	3
Tom20	3
Tom40	3
Tom7	3
Tpr2	3
Trx-2	3
Trxr-1	3
Ubc10	3
Ufd1	3
Urod	3
UQCR-11	3
UQCR-14	3
UQCR-6.4	3
UQCR-C1	3
UQCR-C2	3
UQCR-Q	3
Usf	3
Vamp7	3
VhaM9.7-b	3
vig2	3
Vps60	3
ZnT49B	3
14-3-3zeta	4
5PtaseI	4
AdipoR	4
AdSS	4
AIMP3	4
alc	4
alpha4GT1	4
AMPKalpha	4
AP-1-2beta	4
Aplip1	4
Arf102F	4
Arl4	4
arm	4
Atg1	4
Atg101	4
Atg18b	4
Atg8a	4
Atpalpha	4
Bet3	4
Bgb	4
BI-1	4
Blos1	4
brat	4
Bx42	4
Caper	4
Cbp53E	4
CD98hc	4
Cdc37	4
Cdk5	4
Cdk5alpha	4
Cds	4
CG10508	4
CG10674	4
CG11050	4
CG11099	4
EMC4	4
CG11454	4
CG1161	4
CG11658	4
CG12004	4
CG12343	4
CG12822	4
CG13344	4
CG13364	4
CG13585	4
CG13760	4
CG13920	4
CG13937	4
CG14408	4
CG14591	4
CG14767	4
CG14989	4
CG15012	4
Ypel	4
CG15772	4
CG1695	4
CG17059	4
CG17168	4
CG17272	4
CG17294	4
EMC2A	4
CG17778	4
CG18766	4
CG1909	4
CG1943	4
CG1998	4
CG2017	4
CG2182	4
CG2790	4
CG30392	4
CG3040	4
CG30423	4
CG31030	4
Ifrd1	4
CG31715	4
CG31717	4
CG31808	4
CG31855	4
Svip	4
CG32109	4
CG32276	4
CG32485	4
CG33181	4
CG34125	4
CG34159	4
CG34293	4
CG3436	4
CG34404	4
CG3625	4
CG3662	4
CG3703	4
CG3793	4
CG3860	4
CG3907	4
CG3955	4
Atat	4
CG42322	4
CG42361	4
hbt	4
CG4502	4
CG45049	4
MICU3	4
CG4678	4
Agpat3	4
CG5021	4
CG5805	4
CG5902	4
CG5934	4
CG5938	4
Uck	4
CG6443	4
Hou	4
Prps	4
CG7220	4
CG7332	4
CG7407	4
CG7582	4
CG7739	4
CG7781	4
Nulp1	4
Ae2	4
mrva	4
sordd1	4
CG9328	4
CG9853	4
Chd64	4
Chmp1	4
CkIalpha	4
lncRNA:CR30055	4
lncRNA:CR43459	4
Csp	4
ctp	4
DCTN5-p25	4
Den1	4
Dlc90F	4
DnaJ-1	4
Drat	4
eff	4
eIF2Bbeta	4
MsrA	4
emc	4
EndoA	4
endos	4
Eno	4
sotv	4
Fas1	4
Fis1	4
Fkbp12	4
fs(1)h	4
futsch	4
fwe	4
gammaSnap1	4
Gapdh1	4
Gapdh2	4
Gbeta5	4
Ggamma1	4
ghi	4
Arl8	4
Glut4EF	4
GlyP	4
gzl	4
Grx1	4
Gycalpha99B	4
HDAC4	4
His3.3A	4
HmgZ	4
HPS1	4
Hr38	4
Hsp23	4
Hsp26	4
lncRNA:Hsromega	4
igl	4
Inos	4
jagn	4
jdp	4
jim	4
Kank	4
Kap-alpha3	4
kcc	4
KLHL18	4
l(1)G0196	4
Ttc7	4
l(2)SH0834	4
Lamp1	4
lap	4
lawc	4
lola	4
lolal	4
lwr	4
maf-S	4
Mapmodulin	4
mbf1	4
MESK2	4
Mlf	4
mlt	4
Mob2	4
lncRNA:CR34335	4
Ndfip	4
Nipped-B	4
nrv2	4
nSyb	4
Ntf-2	4
Nxt1	4
Obp44a	4
Oda	4
Oli	4
p	4
Pcf11	4
Pcmt	4
Pfdn1	4
Pfdn4	4
Pfdn6	4
Pgi	4
Pgk	4
phtf	4
Pis	4
Pka-R1	4
Pka-R2	4
Pkc98E	4
PMCA	4
Pomp	4
Pp1alpha-96A	4
Pp2A-29B	4
PPP1R15	4
Pur-alpha	4
PyK	4
qkr58E-3	4
qtc	4
Rab1	4
Rab14	4
Rab18	4
Rab2	4
Rab3	4
Rab4	4
Rab5	4
Rab7	4
RabX4	4
Rad23	4
rdx	4
ReepA	4
ref(2)P	4
REPTOR-BP	4
Rheb	4
Rlip	4
Rm62	4
RNASEK	4
robl	4
Roc1a	4
Rop	4
Rpn10	4
Rpn11	4
Rpn5	4
Rpt4	4
Rtf1	4
SamDC	4
Sap47	4
sau	4
sbb	4
SCCRO	4
SelR	4
Sh	4
shi	4
shrb	4
sigmar	4
SkpA	4
slmb	4
slo	4
Socs36E	4
sqh	4
sra	4
ssx	4
stmA	4
STUB1	4
stv	4
Syt7	4
Syx17	4
Syx6	4
Syx7	4
Tango11	4
Tango9	4
TBC1D16	4
TfIIA-S	4
TM4SF	4
Serinc	4
Tpi	4
Trp1	4
Trs20	4
Trs31	4
Tsp42Ee	4
Tsp42Ej	4
Ubc4	4
Ubc6	4
UbcE2H	4
UbcE2M	4
Ubi-p5E	4
Ubi-p63E	4
UBL3	4
Usp14	4
veli	4
Vha100-1	4
Vha13	4
Vha14-1	4
Vha16-1	4
Vha36-1	4
Vha44	4
Vha55	4
Vha68-1	4
VhaAC39-1	4
VhaAC45	4
ATP6AP2	4
VhaM9.7-a	4
VhaPPA1-1	4
VhaSFD	4
vig	4
vih	4
Vps24	4
Vps28	4
Vps37B	4
Vti1a	4
Vti1b	4
Wbp2	4
Yeti	4
Yippee	4
cass	5
Acn	5
Act5C	5
alphaTub84B	5
Ank2	5
AP-1gamma	5
ari-1	5
awd	5
bcn92	5
betaTub56D	5
Blimp-1	5
Bsg	5
bun	5
Calr	5
CaMKII	5
cathD	5
caz	5
CG10077	5
CG11155	5
CG11360	5
CG12605	5
CG15098	5
CG1677	5
CG17321	5
l(3)80Fj	5
HINT1	5
CG2918	5
CG31650	5
CG31712	5
EMC10	5
CG32486	5
Rnf11	5
CG33229	5
Dpm3	5
CG42450	5
CG42724	5
CG45050	5
CG4887	5
CG5746	5
CG6770	5
CG9005	5
CG9813	5
aqz	5
ERp44	5
chinmo	5
CHOp24	5
chrb	5
cic	5
CNBP	5
Cyp1	5
dnc	5
Dyb	5
dysc	5
eEF1alpha1	5
eEF1alpha2	5
eEF1beta	5
eEF1gamma	5
egh	5
eIF3b	5
eIF3c	5
eIF3f1	5
eIF3h	5
eIF3i	5
eIF3k	5
eIF3l	5
eIF3m	5
eIF4H1	5
Eip75B	5
elav	5
flw	5
fne	5
fok	5
FoxP	5
fru	5
ftz-f1	5
G9a	5
GCS2alpha	5
glec	5
gw	5
Hel25E	5
His4r	5
HmgD	5
Hrb27C	5
Hrb87F	5
Hrb98DE	5
Hsc70-3	5
Hsc70-4	5
Jafrac1	5
l(1)G0320	5
l(3)L1231	5
Lk6	5
lost	5
MED21	5
MFS17	5
Mnn1	5
Msp300	5
mtd	5
mts	5
Nacalpha	5
nAChRalpha5	5
nej	5
lncRNA:noe	5
norpA	5
Nurf-38	5
orb2	5
p120ctn	5
pAbp	5
para	5
Pep	5
PHGPx	5
phyl	5
PPP4R2r	5
Prosap	5
prtp	5
Rack1	5
Rbp1	5
Rbp1-like	5
rdgB	5
Rdh	5
RhoGDI	5
rin	5
ringer	5
rl	5
RpL10Ab	5
RpL12	5
RpL13	5
RpL13A	5
RpL14	5
RpL17	5
RpL18	5
RpL18A	5
RpL21	5
RpL22	5
RpL23A	5
RpL26	5
RpL27	5
RpL27A	5
RpL28	5
RpL29	5
RpL3	5
RpL30	5
RpL31	5
RpL32	5
RpL34a	5
RpL34b	5
RpL35	5
RpL35A	5
RpL36A	5
RpL38	5
RpL39	5
RpL4	5
RpL40	5
RpL41	5
RpL5	5
RpL6	5
RpL7	5
RpL7A	5
RpL8	5
RpL9	5
RpLP0	5
RpLP1	5
RpLP2	5
RpS10b	5
RpS11	5
RpS12	5
RpS13	5
RpS14a	5
RpS14b	5
RpS15	5
RpS15Aa	5
RpS16	5
RpS17	5
RpS19a	5
RpS2	5
RpS20	5
RpS21	5
RpS23	5
RpS24	5
RpS25	5
RpS26	5
RpS27A	5
RpS28b	5
RpS29	5
RpS3	5
RpS30	5
RpS3A	5
RpS4	5
RpS5a	5
RpS6	5
RpS8	5
RpS9	5
Rsf1	5
rudhira	5
scyl	5
Sec61beta	5
Septin4	5
sgg	5
shot	5
sif	5
simj	5
sky	5
SmE	5
Sumo	5
Snap25	5
sqd	5
Ssb-c31a	5
sta	5
Su(var)205	5
su(w[a])	5
Sxl	5
Syp	5
Syx1A	5
Tapdelta	5
Tctp	5
ThrRS	5
Tspo	5
Uhg4	5
Uhg5	5
Unr	5
viaf	5
wdb	5
Xe7	5
Xrp1	5
yps	5
ytr	5
lncRNA:alphagamma-element:CR32865	6
Ctr9	6
Hsc70Cb	6
Hsp68	6
Hsp83	6
l(1)G0469	6
