SYMBOL	FLYBASE	GENENAME	module
CG32647	FBgn0052647	uncharacterized protein	1
CG32700	FBgn0267253	uncharacterized protein	1
CG32809	FBgn0023531	uncharacterized protein	1
CG33543	FBgn0053543	uncharacterized protein	1
CG40498	FBgn0069969	uncharacterized protein	1
CG42260	FBgn0259145	uncharacterized protein	1
CG42268	FBgn0259163	uncharacterized protein	1
CG4230	FBgn0031683	uncharacterized protein	1
CG42340	FBgn0259242	uncharacterized protein	1
CG42392	FBgn0259738	uncharacterized protein	1
CG42540	FBgn0260657	uncharacterized protein	1
CG42541	FBgn0260658	uncharacterized protein	1
CG42668	FBgn0261550	uncharacterized protein	1
CG42750	FBgn0261804	uncharacterized protein	1
CG42795	FBgn0261928	uncharacterized protein	1
CG43066	FBgn0262476	uncharacterized protein	1
CG43737	FBgn0263994	uncharacterized protein	1
CG43867	FBgn0264449	uncharacterized protein	1
CG4467	FBgn0039064	uncharacterized protein	1
CG4577	FBgn0031306	uncharacterized protein	1
CG4612	FBgn0035016	uncharacterized protein	1
CG5890	FBgn0039380	uncharacterized protein	1
CG6044	FBgn0034725	uncharacterized protein	1
CG6329	FBgn0033872	uncharacterized protein	1
CG7029	FBgn0039026	uncharacterized protein	1
CG7646	FBgn0036926	uncharacterized protein	1
CG7990	FBgn0030997	uncharacterized protein	1
CG8500	FBgn0037754	uncharacterized protein	1
cindr	FBgn0027598	CIN85 and CD2AP related	1
Cngl	FBgn0263257	Cyclic nucleotide-gated ion channel-like	1
Con	FBgn0005775	Connectin	1
Corin	FBgn0033192	corin	1
Cow	FBgn0039054	Carrier of Wingless	1
cpo	FBgn0263995	couch potato	1
cpx	FBgn0041605	complexin	1
Dhit	FBgn0028743	Double hit	1
dlg1	FBgn0001624	discs large 1	1
Dop2R	FBgn0053517	Dopamine 2-like receptor	1
DopEcR	FBgn0035538	Dopamine/Ecdysteroid receptor	1
Dora	NA	NA	1
Dpp10	NA	NA	1
dpr12	FBgn0085414	defective proboscis extension response 12	1
dpr14	FBgn0029974	defective proboscis extension response 14	1
dpr21	FBgn0260995	defective proboscis extension response 21	1
dpr6	FBgn0040823	defective proboscis extension response 6	1
dpr7	FBgn0053481	defective proboscis extension response 7	1
dpr8	FBgn0052600	defective proboscis extension response 8	1
dpr9	FBgn0038282	defective proboscis extension response 9	1
Dscam2	FBgn0265296	Down syndrome cell adhesion molecule 2	1
Dscam4	FBgn0263219	Down syndrome cell adhesion molecule 4	1
dtn	FBgn0262730	detonator	1
eIF4EHP	FBgn0053100	eukaryotic translation initiation factor 4E homologous protein	1
enc	FBgn0004875	encore	1
Evi5	FBgn0262740	Ecotropic viral integration site 5	1
fend	FBgn0030090	forked end	1
Flo2	FBgn0264078	Flotillin 2	1
Frl	FBgn0267795	Formin-like	1
Frq1	FBgn0030897	Frequenin 1	1
GABA-B-R1	FBgn0260446	metabotropic GABA-B receptor subtype 1	1
Galphao	FBgn0001122	G protein alpha o subunit	1
Gfrl	FBgn0262869	Glial cell line-derived neurotrophic family receptor-like	1
Ggamma30A	FBgn0267252	G protein subunit gamma at 30A	1
GluClalpha	FBgn0024963	GluClalpha	1
Glut1	FBgn0264574	Glucose transporter 1	1
Hasp	FBgn0032797	Hig-anchoring scaffold protein	1
heph	FBgn0011224	hephaestus	1
Hipk	FBgn0035142	Homeodomain interacting protein kinase	1
Hs3st-A	FBgn0053147	Heparan sulfate 3-O sulfotransferase-A	1
hth	FBgn0001235	homothorax	1
hwt	FBgn0264542	heavyweight	1
IA-2	FBgn0031294	IA-2 protein tyrosine phosphatase	1
Ih	FBgn0263397	I[[h]] channel	1
inaE	FBgn0261244	inactivation no afterpotential E	1
jeb	FBgn0086677	jelly belly	1
jef	FBgn0033958	jet fuel	1
Jupiter	FBgn0051363	jupiter	1
jus	FBgn0039647	julius seizure	1
kek1	FBgn0015399	kekkon 1	1
kis	FBgn0266557	kismet	1
klar	FBgn0001316	klarsicht	1
Ktl	FBgn0038839	Kctd12-like	1
l(3)02640	FBgn0010786	lethal (3) 02640	1
l(3)80Fg	FBgn0287183	lethal (3) 80Fg	1
l(3)neo38	FBgn0265276	lethal (3) neo38	1
lgs	FBgn0039907	legless	1
Liprin-gamma	FBgn0034720	Liprin-gamma	1
lncRNA:CR31451	FBgn0051451	long non-coding RNA::CR31451	1
lncRNA:CR45054	FBgn0266414	long non-coding RNA:CR45054	1
loaf	NA	NA	1
Lrp4	FBgn0030706	LDL receptor related protein 4	1
LTV1	FBgn0027525	LTV1 ribosome biogenesis factor	1
mAChR-A	FBgn0000037	muscarinic Acetylcholine Receptor, A-type	1
mamo	FBgn0267033	maternal gene required for meiosis	1
mei-P26	FBgn0026206	meiotic P26	1
Mid1	FBgn0053988	Mid1	1
miple1	FBgn0027111	midkine and pleiotrophin 1	1
mmd	FBgn0259110	mind-meld	1
Mmp2	FBgn0033438	Matrix metalloproteinase 2	1
msi	FBgn0011666	musashi	1
mspo	FBgn0020269	M-spondin	1
mub	FBgn0262737	mushroom-body expressed	1
mura	FBgn0037705	murashka	1
nAChRalpha1	FBgn0000036	nicotinic Acetylcholine Receptor alpha1	1
nAChRalpha6	FBgn0032151	nicotinic Acetylcholine Receptor alpha6	1
nAChRalpha7	FBgn0086778	nicotinic Acetylcholine Receptor alpha7	1
nAChRbeta1	FBgn0000038	nicotinic Acetylcholine Receptor beta1	1
NaCP60E	FBgn0085434	Na channel protein 60E	1
NaPi-III	FBgn0260795	Na[+]-dependent inorganic phosphate cotransporter type III	1
Nca	FBgn0013303	Neurocalcin	1
Nckx30C	FBgn0028704	Nckx30C	1
NFAT	FBgn0030505	NFAT nuclear factor	1
Nlg2	FBgn0031866	Neuroligin 2	1
Nlg3	FBgn0083963	Neuroligin 3	1
nmo	FBgn0011817	nemo	1
nrv3	FBgn0032946	nervana 3	1
Nrx-1	FBgn0038975	Neurexin 1	1
nwk	FBgn0263456	nervous wreck	1
onecut	FBgn0028996	onecut	1
OtopLa	FBgn0259994	Otopetrin-like a	1
PAN3	FBgn0035397	Poly(A) specific ribonuclease subunit PAN3	1
Pdcd4	FBgn0030520	Programmed cell death 4	1
Pde6	FBgn0038237	Phosphodiesterase 6	1
Pde9	FBgn0259171	Phosphodiesterase 9	1
Pdp1	FBgn0016694	PAR-domain protein 1	1
Pits	FBgn0030400	Protein interacting with Ttk69 and Sin3A	1
Pitslre	FBgn0016696	pitslre	1
Pkc53E	FBgn0003091	Protein C kinase 53E	1
Plc21C	FBgn0004611	Phospholipase C at 21C	1
pros	FBgn0004595	prospero	1
ps	FBgn0261552	pasilla	1
PsGEF	FBgn0264598	Protostome-specific GEF	1
Ptp99A	FBgn0004369	Protein tyrosine phosphatase 99A	1
pum	FBgn0003165	pumilio	1
Pvf3	FBgn0085407	PDGF- and VEGF-related factor 3	1
qvr	FBgn0260499	quiver	1
Rab26	FBgn0086913	Rab26	1
Rap1	FBgn0004636	Rap1 GTPase	1
Rbfox1	FBgn0052062	RNA-binding Fox protein 1	1
Rbp6	FBgn0260943	RNA-binding protein 6	1
Rbp9	FBgn0010263	RNA-binding protein 9	1
Rdl	FBgn0004244	Resistant to dieldrin	1
Reph	FBgn0021800	Regulator of eph expression	1
RhoGAP100F	FBgn0039883	Rho GTPase activating protein at 100F	1
RhoGAP71E	FBgn0036518	Rho GTPase activating protein at 71E	1
RhoGAP93B	FBgn0038853	Rho GTPase activating protein at 93B	1
RhoGAPp190	FBgn0026375	Rho GTPase activating protein p190	1
Rim	FBgn0053547	Rab3 interacting molecule	1
RSG7	FBgn0024941	Regulator of G-protein signaling 7	1
Rtnl1	FBgn0053113	Reticulon-like1	1
Scgbeta	FBgn0038042	Sarcoglycan beta	1
Sdc	FBgn0010415	Syndecan	1
Sema1a	FBgn0011259	Semaphorin 1a	1
SF2	FBgn0283477	Splicing factor 2	1
shakB	FBgn0085387	shaking B	1
shep	FBgn0052423	alan shepard	1
side-VI	FBgn0083950	sidestep VI	1
slgA	FBgn0003423	sluggish A	1
smog	FBgn0051660	smog	1
Spn	FBgn0010905	Spinophilin	1
SPoCk	FBgn0052451	Secretory Pathway Calcium atpase	1
Srrm234	FBgn0035253	Serine-arginine repetitive matrix 2/3/4	1
St3	FBgn0265052	Sulfotransferase 3	1
Stacl	FBgn0263980	Stac-like	1
stau	FBgn0003520	staufen	1
stol	NA	NA	1
Syn1	FBgn0037130	Syntrophin-like 1	1
Syt1	FBgn0004242	Synaptotagmin 1	1
Syt4	FBgn0028400	Synaptotagmin 4	1
Teh1	FBgn0037766	tipE homolog 1	1
Teh2	FBgn0035505	tipE homolog 2	1
Ten-a	FBgn0267001	Tenascin accessory	1
Tet	FBgn0263392	Ten-Eleven Translocation (TET) family protein	1
tipE	FBgn0003710	temperature-induced paralytic E	1
tna	FBgn0026160	tonalli	1
Tob	FBgn0028397	Transducer of ERBB2	1
Tomosyn	FBgn0030412	tomosyn	1
Tsp97E	FBgn0039465	Tetraspanin 97E	1
ttv	FBgn0265974	tout-velu	1
tty	FBgn0015558	tweety	1
tutl	FBgn0010473	turtle	1
unc-104	FBgn0267002	uncoordinated-104	1
unc-119	FBgn0025549	unc-119	1
unc-13	FBgn0025726	unc-13	1
unc79	FBgn0038693	uncoordinated 79	1
Vap33	FBgn0029687	VAMP-associated protein 33kDa	1
VGlut	FBgn0031424	Vesicular glutamate transporter	1
wech	FBgn0259745	wech	1
X11Lbeta	FBgn0052677	X11Lbeta	1
Ythdc1	FBgn0027616	YTH domain containing 1	1
14-3-3epsilon	FBgn0020238	14-3-3epsilon	2
7B2	FBgn0041707	7B2	2
Alg-2	FBgn0086378	Apoptosis-linked gene-2	2
amon	FBgn0023179	amontillado	2
Arf79F	FBgn0010348	ADP ribosylation factor at 79F	2
Bacc	FBgn0031453	Bacchus	2
boca	FBgn0004132	boca	2
CDC50	FBgn0030752	CDC50	2
CG10098	FBgn0037472	uncharacterized protein	2
CG11151	FBgn0030519	uncharacterized protein	2
CG12038	FBgn0035179	uncharacterized protein	2
CG12194	FBgn0031636	uncharacterized protein	2
CG13551	FBgn0040660	uncharacterized protein	2
CG17841	FBgn0028480	uncharacterized protein	2
CG1927	FBgn0027547	uncharacterized protein	2
CG2269	FBgn0033484	uncharacterized protein	2
CG2852	FBgn0034753	uncharacterized protein	2
CG30172	FBgn0050172	uncharacterized protein	2
CG30389	FBgn0050389	uncharacterized protein	2
CG31064	FBgn0051064	uncharacterized protein	2
CG31140	FBgn0051140	uncharacterized protein	2
CG3257	FBgn0034978	uncharacterized protein	2
CG3262	FBgn0032986	uncharacterized protein	2
CG33129	FBgn0053129	uncharacterized protein	2
CG3566	FBgn0029854	uncharacterized protein	2
CG42336	FBgn0259238	uncharacterized protein	2
CG42748	FBgn0261802	uncharacterized protein	2
CG43324	FBgn0263029	uncharacterized protein	2
CG46280	FBgn0283438	uncharacterized protein	2
CG4658	FBgn0032170	uncharacterized protein	2
CG5027	FBgn0036579	uncharacterized protein	2
CG5174	FBgn0034345	uncharacterized protein	2
CG5532	FBgn0034902	uncharacterized protein	2
CG7484	FBgn0036745	uncharacterized protein	2
CG8726	FBgn0033244	uncharacterized protein	2
CG8860	FBgn0033691	uncharacterized protein	2
CG9132	FBgn0030791	uncharacterized protein	2
CG9391	FBgn0037063	uncharacterized protein	2
CG9646	FBgn0034184	uncharacterized protein	2
CG9919	FBgn0030742	uncharacterized protein	2
Cirl	FBgn0033313	Calcium-independent receptor for alpha-latrotoxin	2
Ciz1	NA	NA	2
Cnx99A	FBgn0015622	Calnexin 99A	2
Cp1	FBgn0013770	Cysteine proteinase-1	2
CtsB	NA	NA	2
Dad1	FBgn0263852	Defender against apoptotic cell death 1	2
Desat1	FBgn0086687	Desaturase 1	2
Df31	FBgn0022893	Decondensation factor 31	2
dpr19	FBgn0032233	defective proboscis extension response 19	2
E2f1	FBgn0011766	E2F transcription factor 1	2
eca	FBgn0069242	eclair	2
eEF1delta	FBgn0032198	eukaryotic translation elongation factor 1 delta	2
eEF5	FBgn0285952	eukaryotic translation elongation factor 5	2
ERp60	FBgn0033663	Endoplasmic reticulum p60	2
fax	FBgn0014163	failed axon connections	2
Fer1HCH	FBgn0015222	Ferritin 1 heavy chain homologue	2
Fer2LCH	FBgn0015221	Ferritin 2 light chain homologue	2
Flo1	FBgn0024754	Flotillin 1	2
Galphas	FBgn0001123	G protein alpha s subunit	2
Gbeta13F	FBgn0001105	G protein beta-subunit 13F	2
Gdi	FBgn0004868	GDP dissociation inhibitor	2
His3.3B	FBgn0004828	Histone H3.3B	2
Kdm5	NA	NA	2
Klp64D	FBgn0004380	Kinesin-like protein at 64D	2
loqs	FBgn0032515	loquacious	2
Lpin	FBgn0263593	Lipin	2
Manf	FBgn0027095	Mesencephalic astrocyte-derived neurotrophic factor	2
Mob4	FBgn0259483	MOB kinase activator 4	2
mtgo	FBgn0259735	miles to go	2
Nedd8	FBgn0032725	Nedd8	2
Nf1	FBgn0015269	Neurofibromin 1	2
Nlp	FBgn0016685	Nucleoplasmin	2
Nmda1	FBgn0013305	N-methyl-D-aspartate receptor-associated protein	2
Non2	FBgn0035370	Novel nucleolar protein 2	2
NUCB1	FBgn0052190	NUCB1	2
Pal2	FBgn0262728	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 2	2
Pcd	FBgn0024841	pterin-4a-carbinolamine dehydratase	2
Pdi	FBgn0286818	Protein disulfide isomerase	2
PlexA	FBgn0025741	Plexin A	2
pnut	FBgn0013726	peanut	2
poly	FBgn0086371	poly	2
Prosbeta2	FBgn0023174	Proteasome beta2 subunit	2
Ptpmeg2	FBgn0028341	Protein tyrosine phosphatase Meg2	2
Rab11	FBgn0015790	Rab11	2
ReepB	FBgn0033906	Receptor expression enhancing protein B	2
Ric	FBgn0265605	Ras-related protein interacting with calmodulin	2
Rpt1	FBgn0028687	Regulatory particle triple-A ATPase 1	2
Scamp	FBgn0040285	scamp	2
Sec61gamma	FBgn0031049	Sec61 gamma subunit	2
Septin2	NA	NA	2
Smox	FBgn0025800	Smad on X	2
Spase12	FBgn0040623	Spase 12-subunit	2
Spase22-23	FBgn0039172	Spase 22/23-subunit	2
Spase25	FBgn0030306	Spase 25-subunit	2
Spred	FBgn0020767	Sprouty-related protein with EVH-1 domain	2
svr	FBgn0004648	silver	2
Swip-1	FBgn0032731	Swiprosin-1	2
Taf10b	FBgn0026324	TBP-associated factor 10b	2
Tm1	FBgn0003721	Tropomyosin 1	2
tow	FBgn0035719	target of wingless	2
twr	FBgn0262801	twisted bristles roughened eye	2
Uev1A	FBgn0035601	Ubiquitin-conjugating enzyme variant 1A	2
vsg	FBgn0045823	visgun	2
Xbp1	FBgn0021872	X box binding protein-1	2
Acsl	FBgn0263120	Acyl-CoA synthetase long-chain	3
Acyp2	FBgn0038363	Acylphosphatase 2	3
Adk3	FBgn0042094	Adenylate kinase 3	3
Afg3l2	NA	NA	3
Alas	FBgn0020764	Aminolevulinate synthase	3
alphaTub84D	FBgn0003885	alpha-Tubulin at 84D	3
AnxB10	FBgn0000084	Annexin B10	3
AP-1sigma	FBgn0039132	Adaptor Protein complex 1, sigma subunit	3
AP-2sigma	FBgn0043012	Adaptor Protein complex 2, sigma subunit	3
Apt1	NA	NA	3
Argk1	NA	NA	3
Arpc3A	FBgn0038369	Actin-related protein 2/3 complex, subunit 3A	3
ATPsynB	FBgn0019644	ATP synthase, subunit B	3
ATPsynC	FBgn0039830	ATP synthase, subunit C	3
ATPsynCF6	FBgn0016119	ATP synthase, coupling factor 6	3
ATPsynD	FBgn0016120	ATP synthase, subunit D	3
ATPsyndelta	FBgn0028342	ATP synthase, delta subunit	3
ATPsynE	FBgn0038224	ATP synthase, subunit E	3
ATPsynF	FBgn0035032	ATP synthase, subunit F	3
ATPsynG	FBgn0010612	ATP synthase, subunit G	3
ATPsyngamma	FBgn0020235	ATP synthase, gamma subunit	3
ATPsynO	FBgn0016691	ATP synthase, oligomycin sensitivity conferring protein	3
Baldspot	FBgn0260960	baldspot	3
Bet5	FBgn0260860	Blocked early in transport 5	3
blw	FBgn0011211	bellwether	3
bonsai	FBgn0026261	bonsai	3
bsk	FBgn0000229	basket	3
Cbp20	FBgn0022943	cap binding protein 20	3
Cchl	FBgn0038925	Cytochrome c heme lyase	3
Ccm3	FBgn0038331	Cerebral cavernous malformation 3	3
CG10075	FBgn0035722	uncharacterized protein	3
CG10214	FBgn0039115	uncharacterized protein	3
CG10340	FBgn0022344	uncharacterized protein	3
CG10561	FBgn0002036	uncharacterized protein	3
CG11035	FBgn0037544	uncharacterized protein	3
CG11076	FBgn0039929	uncharacterized protein	3
CG11267	FBgn0036334	uncharacterized protein	3
CG11699	FBgn0030311	uncharacterized protein	3
CG11722	FBgn0037777	uncharacterized protein	3
CG11752	FBgn0030292	uncharacterized protein	3
CG12084	FBgn0043458	uncharacterized protein	3
CG12091	FBgn0035228	uncharacterized protein	3
CG12279	FBgn0038080	uncharacterized protein	3
CG1265	FBgn0035517	uncharacterized protein	3
CG12848	FBgn0040666	uncharacterized protein	3
CG12895	FBgn0033523	uncharacterized protein	3
CG1307	FBgn0026566	uncharacterized protein	3
CG13220	FBgn0033608	uncharacterized protein	3
CG13365	FBgn0029529	uncharacterized protein	3
CG13601	FBgn0039126	uncharacterized protein	3
CG13623	FBgn0039205	uncharacterized protein	3
CG13751	FBgn0033340	uncharacterized protein	3
CG13868	FBgn0034501	uncharacterized protein	3
CG14407	FBgn0030584	uncharacterized protein	3
CG14483	FBgn0034248	uncharacterized protein	3
CG14721	FBgn0037942	uncharacterized protein	3
CG14757	FBgn0033274	uncharacterized protein	3
CG14777	FBgn0026872	uncharacterized protein	3
CG14817	FBgn0026089	uncharacterized protein	3
CG14818	FBgn0026088	uncharacterized protein	3
CG15432	FBgn0031603	uncharacterized protein	3
CG15456	FBgn0040650	uncharacterized protein	3
CG15771	FBgn0029801	uncharacterized protein	3
CG15891	FBgn0029860	uncharacterized protein	3
CG15908	FBgn0033085	uncharacterized protein	3
CG15916	FBgn0030704	uncharacterized protein	3
CG15922	FBgn0040575	uncharacterized protein	3
CG1598	FBgn0033191	uncharacterized protein	3
CG1640	FBgn0030478	uncharacterized protein	3
CG16935	FBgn0033883	uncharacterized protein	3
CG16986	FBgn0035356	uncharacterized protein	3
CG17385	FBgn0033934	uncharacterized protein	3
CG17493	FBgn0040010	uncharacterized protein	3
CG17593	FBgn0031544	uncharacterized protein	3
CG17698	FBgn0040056	uncharacterized protein	3
CG17734	FBgn0037890	uncharacterized protein	3
CG17776	FBgn0040899	uncharacterized protein	3
CG17996	FBgn0032595	uncharacterized protein	3
CG18508	FBgn0028746	uncharacterized protein	3
CG18549	FBgn0038053	uncharacterized protein	3
CG1907	FBgn0039674	uncharacterized protein	3
CG2076	FBgn0030263	uncharacterized protein	3
CG30373	FBgn0050373	uncharacterized protein	3
CG3061	FBgn0038195	uncharacterized protein	3
CG31229	FBgn0051229	uncharacterized protein	3
CG31637	FBgn0051637	uncharacterized protein	3
CG31800	FBgn0051800	uncharacterized protein	3
CG32267	FBgn0052267	uncharacterized protein	3
CG32278	FBgn0052278	uncharacterized protein	3
CG32369	FBgn0052369	uncharacterized protein	3
CG32425	FBgn0052425	uncharacterized protein	3
CG32448	FBgn0052448	uncharacterized protein	3
CG32767	FBgn0052767	uncharacterized protein	3
CG33199	FBgn0053199	uncharacterized protein	3
CG34117	FBgn0083953	uncharacterized protein	3
CG34132	FBgn0083968	uncharacterized protein	3
CG34150	FBgn0083986	uncharacterized protein	3
CG34200	FBgn0085229	uncharacterized protein	3
CG34228	FBgn0085257	uncharacterized protein	3
CG34229	FBgn0259832	uncharacterized protein	3
CG34250	FBgn0085279	uncharacterized protein	3
CG3556	FBgn0029708	uncharacterized protein	3
CG3719	FBgn0024986	uncharacterized protein	3
CG41128	FBgn0069923	uncharacterized protein	3
CG42376	FBgn0259722	uncharacterized protein	3
CG42813	FBgn0261995	uncharacterized protein	3
CG44242	FBgn0265177	uncharacterized protein	3
CG4686	FBgn0038739	uncharacterized protein	3
CG5028	FBgn0039358	uncharacterized protein	3
CG5065	FBgn0034145	uncharacterized protein	3
CG5214	FBgn0037891	uncharacterized protein	3
CG5569	FBgn0034919	uncharacterized protein	3
CG5676	FBgn0032200	uncharacterized protein	3
CG5946	FBgn0036211	uncharacterized protein	3
CG6115	FBgn0040985	uncharacterized protein	3
CG6180	FBgn0032453	uncharacterized protein	3
CG6330	FBgn0039464	uncharacterized protein	3
CG6523	FBgn0032509	uncharacterized protein	3
CG6878	FBgn0036488	uncharacterized protein	3
CG7382	FBgn0031708	uncharacterized protein	3
CG7394	FBgn0036173	uncharacterized protein	3
CG7430	FBgn0036762	uncharacterized protein	3
CG7506	FBgn0035805	uncharacterized protein	3
CG7630	FBgn0040793	uncharacterized protein	3
CG7920	FBgn0039737	uncharacterized protein	3
CG7943	FBgn0039741	uncharacterized protein	3
CG8004	FBgn0036920	uncharacterized protein	3
CG8187	FBgn0034027	uncharacterized protein	3
CG8206	FBgn0030679	uncharacterized protein	3
CG8229	FBgn0033356	uncharacterized protein	3
CG8245	FBgn0033031	uncharacterized protein	3
CG8360	FBgn0032001	uncharacterized protein	3
CG8818	FBgn0033751	uncharacterized protein	3
CG8993	FBgn0035334	uncharacterized protein	3
CG9034	FBgn0040931	uncharacterized protein	3
CG9231	FBgn0036887	uncharacterized protein	3
CG9399	FBgn0037715	uncharacterized protein	3
CG9921	FBgn0030743	uncharacterized protein	3
Chchd2	FBgn0260747	Coiled-coil-helix-coiled-coil-helix domain containing 2	3
Chchd3	FBgn0010808	Coiled-coil-helix-coiled-coil-helix domain containing 3	3
Cisd2	FBgn0062442	CDGSH iron sulfur domain 2	3
ClpP	FBgn0032229	Clp protease proteolytic subunit	3
Coa8	FBgn0029594	Cytochrome c oxidase assembly factor 8	3
comt	FBgn0000346	comatose	3
Coq7	FBgn0029502	Coenzyme Q7	3
Cox10	NA	NA	3
Cox17	NA	NA	3
COX4	FBgn0032833	Cytochrome c oxidase subunit 4	3
COX5A	FBgn0019624	Cytochrome c oxidase subunit 5A	3
COX5B	FBgn0031830	Cytochrome c oxidase subunit 5B	3
COX6B	FBgn0031066	Cytochrome c oxidase subunit 6B	3
COX7A	FBgn0040529	Cytochrome c oxidase subunit 7A	3
COX7C	FBgn0040773	Cytochrome c oxidase subunit 7C	3
COX8	FBgn0263911	Cytochrome c oxidase subunit 8	3
CR41597	FBgn0085810	pseudo	3
CRIF	FBgn0037102	CR6-interacting factor	3
cype	FBgn0015031	cyclope	3
Cyt-c-p	FBgn0284248	Cytochrome c proximal	3
Dap160	FBgn0023388	Dynamin associated protein 160	3
DCTN6-p27	FBgn0086446	Dynactin 6, p27 subunit	3
Dic1	FBgn0027610	Dicarboxylate carrier 1	3
dj-1beta	FBgn0039802	dj-1beta	3
DnaJ-H	FBgn0032474	DnaJ homolog	3
Droj2	FBgn0038145	DnaJ-like-2	3
Drp1	FBgn0026479	Dynamin related protein 1	3
e(r)	FBgn0011586	enhancer of rudimentary	3
eIF1A	FBgn0026250	eukaryotic translation initiation factor 1A	3
eIF2alpha	FBgn0261609	eukaryotic translation initiation factor 2 subunit alpha	3
eIF3g1	FBgn0029629	eukaryotic translation initiation factor 3 subunit g1	3
elm	FBgn0037358	ethanol sensitive with low memory	3
EMC6	FBgn0039259	ER membrane protein complex subunit 6	3
EMRE	FBgn0062440	Essential MCU regulator	3
EndoB	FBgn0034433	Endophilin B	3
epsilonCOP	FBgn0027496	Coat Protein (coatomer) epsilon	3
Fdx1	FBgn0011769	Ferredoxin 1	3
Fdx2	FBgn0035529	Ferredoxin 2	3
Fie	FBgn0026592	Fire exit	3
Fkbp59	FBgn0029174	FK506-binding protein 59kD	3
Fum1	FBgn0286222	Fumarase 1	3
Gabat	FBgn0036927	gamma-aminobutyric acid transaminase	3
GABPI	FBgn0031495	beta4GalNAcTB pilot	3
galla-1	FBgn0034543	galla-1	3
galla-2	FBgn0036107	galla-2	3
Gpdh1	FBgn0001128	Glycerol-3-phosphate dehydrogenase 1	3
Gpo1	FBgn0022160	Glycerophosphate oxidase 1	3
Gs1	FBgn0001142	Glutamine synthetase 1	3
Gs1l	FBgn0019982	GS1-like	3
Hex-A	FBgn0001186	Hexokinase A	3
hfp	FBgn0028577	half pint	3
hpRNA:CR18854	FBgn0285991	hairpin RNA:CR18854	3
Hsc70-5	FBgn0001220	Heat shock protein cognate 5	3
Hsp60A	FBgn0015245	Heat shock protein 60A	3
I-2	FBgn0028429	Inhibitor-2	3
Idh3a	FBgn0027291	Isocitrate dehydrogenase 3a	3
Idh3b	FBgn0038922	Isocitrate dehydrogenase 3b	3
Ip259	FBgn0025366	Intronic Protein 259	3
IscU	FBgn0037637	Iron-sulfur cluster assembly enzyme	3
Jwa	FBgn0032704	Jwa	3
kdn	FBgn0261955	knockdown	3
l(2)37Cc	FBgn0002031	lethal (2) 37Cc	3
l(2)k09913	FBgn0021979	lethal (2) k09913	3
l(2)k14505	FBgn0021856	lethal (2) k14505	3
l(3)87Df	FBgn0002354	lethal (3) 87Df	3
l(3)neo43	FBgn0011476	lethal (3) neo43	3
La	FBgn0011638	La autoantigen-like	3
levy	FBgn0034877	levy	3
Lis-1	FBgn0015754	Lissencephaly-1	3
lncRNA:CR42862	FBgn0262109	long non-coding RNA:CR42862	3
