ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio1	desp	module.id
GO:0050803	regulation of synapse structure or activity	0.0945273631840796	191/12234	3.20404636014795e-10	1.60629524188751e-08	1.14558710210202e-08	Cals/CASK/dlg1/Galphao/kis/Liprin-gamma/Nlg2/nmo/Nrx-1/nwk/pum/Sdc/Spn/stau/Syn1/Syt1/Ten-a/unc-104/VGlut	19	19/201	regulation of synapse structure or activity	1
GO:0042391	regulation of membrane potential	0.0646766169154229	83/12234	8.31459144912685e-10	4.03391791596348e-08	2.87693334012233e-08	jus/CG42340/GluClalpha/Ih/nAChRalpha1/nAChRalpha6/nAChRalpha7/nAChRbeta1/NaCP60E/qvr/Rdl/shakB/VGlut	13	13/201	regulation of membrane potential	1
GO:0050807	regulation of synapse organization	0.0845771144278607	160/12234	1.03062929065995e-09	4.84395766610176e-08	3.45464226046871e-08	Cals/CASK/dlg1/Galphao/kis/Liprin-gamma/Nlg2/nmo/Nrx-1/nwk/pum/Sdc/Spn/stau/Syn1/Ten-a/unc-104	17	17/201	regulation of synapse organization	1
GO:0007611	learning or memory	0.0845771144278607	167/12234	2.00500757781328e-09	8.61580399151766e-08	6.14466983997515e-08	Alk/aPKC/Appl/brp/CASK/CG4612/Dop2R/DopEcR/kis/mura/Nrx-1/pum/Rbfox1/Rdl/stau/Tob/Tomosyn	17	17/201	learning or memory	1
GO:0050890	cognition	0.0845771144278607	167/12234	2.00500757781328e-09	8.61580399151766e-08	6.14466983997515e-08	Alk/aPKC/Appl/brp/CASK/CG4612/Dop2R/DopEcR/kis/mura/Nrx-1/pum/Rbfox1/Rdl/stau/Tob/Tomosyn	17	17/201	cognition	1
GO:0042330	taxis	0.119402985074627	347/12234	2.52716319091644e-09	1.04563977397012e-07	7.45735533087594e-08	Alk/beat-IIIb/CadN/Con/dlg1/Dscam2/Dscam4/fend/Hipk/jeb/kis/Mmp2/nmo/pros/Ptp99A/RhoGAP100F/RhoGAP93B/Sdc/Sema1a/shep/slgA/Ten-a/ttv/tutl	24	24/201	taxis	1
GO:0044087	regulation of cellular component biogenesis	0.109452736318408	312/12234	8.60522882565681e-09	3.23556603844696e-07	2.30756004561692e-07	aPKC/Cals/CASK/CG17816/CG4230/dlg1/Flo2/Galphao/Jupiter/kis/Liprin-gamma/Mmp2/nmo/nwk/PsGEF/pum/Sdc/Spn/stau/Syn1/Tob/unc-104	22	22/201	regulation of cellular component biogenesis	1
GO:0051963	regulation of synapse assembly	0.0696517412935323	120/12234	9.63891001258237e-09	3.53583430705461e-07	2.52170713807996e-07	Cals/CASK/dlg1/Galphao/kis/Liprin-gamma/nmo/nwk/pum/Sdc/Spn/stau/Syn1/unc-104	14	14/201	regulation of synapse assembly	1
GO:1901888	regulation of cell junction assembly	0.0696517412935323	125/12234	1.64136588480951e-08	5.74096346686862e-07	4.09437414105482e-07	Cals/CASK/dlg1/Galphao/kis/Liprin-gamma/nmo/nwk/pum/Sdc/Spn/stau/Syn1/unc-104	14	14/201	regulation of cell junction assembly	1
GO:0006812	cation transport	0.119402985074627	385/12234	1.93220635076424e-08	6.60463261715775e-07	4.71033079289176e-07	Atox1/Ca-alpha1D/Ca-beta/CG10804/CG42260/CG42340/CG6329/Cngl/Ih/Mid1/nAChRalpha1/nAChRalpha6/nAChRalpha7/NaCP60E/Nckx30C/nrv3/PsGEF/qvr/SPoCk/Syt1/Syt4/Teh1/Teh2/tipE	24	24/201	cation transport	1
GO:0007626	locomotory behavior	0.0845771144278607	195/12234	2.1167722912523e-08	7.07472339120767e-07	5.04559290008442e-07	Ac3/brp/CASK/dlg1/Ih/Ktl/Mid1/nAChRalpha7/Nlg2/Plc21C/shakB/shep/slgA/Syt1/tutl/unc-104/unc79	17	17/201	locomotory behavior	1
GO:0008038	neuron recognition	0.0646766169154229	114/12234	4.36147858204989e-08	1.33870689538837e-06	9.5474686898149e-07	CadN/Con/dpr12/Dscam2/Dscam4/Mmp2/Ptp99A/Pvf3/RhoGAP93B/RhoGAPp190/Sema1a/Ten-a/tutl	13	13/201	neuron recognition	1
GO:0048589	developmental growth	0.114427860696517	373/12234	4.77474392131295e-08	1.40808134463817e-06	1.00422374733083e-06	alphaSnap/CadN/CASK/cpx/dlg1/Frl/Galphao/Hipk/jeb/kis/Liprin-gamma/Nlg2/nmo/Nrx-1/nwk/pum/RhoGAP100F/Sdc/Sema1a/stau/Syn1/Ten-a/unc-104	23	23/201	developmental growth	1
GO:0008037	cell recognition	0.0646766169154229	117/12234	5.96720505891265e-08	1.72589930934704e-06	1.23088703543158e-06	CadN/Con/dpr12/Dscam2/Dscam4/Mmp2/Ptp99A/Pvf3/RhoGAP93B/RhoGAPp190/Sema1a/Ten-a/tutl	13	13/201	cell recognition	1
GO:0000904	cell morphogenesis involved in differentiation	0.129353233830846	484/12234	9.6933772580732e-08	2.65069807202583e-06	1.89044046430174e-06	Alk/aPKC/beat-IIIb/CadN/Dscam2/Dscam4/fend/Frl/jeb/kis/Liprin-gamma/Mmp2/pros/Ptp99A/pum/RhoGAP100F/RhoGAP71E/RhoGAP93B/RhoGAPp190/Sdc/Sema1a/smog/Ten-a/ttv/tutl/unc-104	26	26/201	cell morphogenesis involved in differentiation	1
GO:0040007	growth	0.119402985074627	439/12234	2.28475279185192e-07	5.72711366490882e-06	4.08449665771422e-06	Alk/alphaSnap/CadN/CASK/cpx/dlg1/Frl/Galphao/Hipk/jeb/kis/Liprin-gamma/Nlg2/nmo/Nrx-1/nwk/pum/RhoGAP100F/Sdc/Sema1a/stau/Syn1/Ten-a/unc-104	24	24/201	growth	1
GO:0048858	cell projection morphogenesis	0.119402985074627	447/12234	3.17998389186076e-07	7.30907347908834e-06	5.21272807614153e-06	Alk/Appl/beat-IIIb/CadN/Dscam2/Dscam4/fend/Frl/jeb/kis/Liprin-gamma/Mmp2/pros/Ptp99A/pum/RhoGAP100F/RhoGAP93B/RhoGAPp190/Sdc/Sema1a/Ten-a/ttv/tutl/unc-104	24	24/201	cell projection morphogenesis	1
GO:0120039	plasma membrane bounded cell projection morphogenesis	0.119402985074627	447/12234	3.17998389186076e-07	7.30907347908834e-06	5.21272807614153e-06	Alk/Appl/beat-IIIb/CadN/Dscam2/Dscam4/fend/Frl/jeb/kis/Liprin-gamma/Mmp2/pros/Ptp99A/pum/RhoGAP100F/RhoGAP93B/RhoGAPp190/Sdc/Sema1a/Ten-a/ttv/tutl/unc-104	24	24/201	plasma membrane bounded cell projection morphogenesis	1
GO:0098609	cell-cell adhesion	0.0646766169154229	135/12234	3.25603672273217e-07	7.30907347908834e-06	5.21272807614153e-06	beat-IIIb/CadN/Cals/Con/dlg1/Dscam2/Dscam4/Nlg2/Nlg3/Rap1/Ten-a/tutl/wech	13	13/201	cell-cell adhesion	1
GO:0030534	adult behavior	0.0696517412935323	166/12234	5.84947719862948e-07	1.2218907926026e-05	8.71435272719801e-06	AcCoAS/brp/CASK/dlg1/DopEcR/dpr9/mura/nAChRalpha7/Nlg2/Plc21C/pum/shakB/shep/tutl	14	14/201	adult behavior	1
GO:0022610	biological adhesion	0.0796019900497512	226/12234	9.66614021462455e-07	1.93838331770604e-05	1.38242763209858e-05	beat-IIIb/CadN/Cals/Con/dlg1/Dscam2/Dscam4/Flo2/Galphao/mspo/Nlg2/Nlg3/Rap1/Ten-a/tutl/wech	16	16/201	biological adhesion	1
GO:0021700	developmental maturation	0.0796019900497512	231/12234	1.29199174953377e-06	2.55678367276157e-05	1.82346203985445e-05	aPKC/BicD/Ca-alpha1D/dlg1/enc/heph/kis/klar/Nlg2/Rim/shep/stau/Syt1/unc-104/unc-13/Vap33	16	16/201	developmental maturation	1
GO:0019932	second-messenger-mediated signaling	0.0398009950248756	61/12234	6.44906591142553e-06	0.000124351219625436	8.86855352731797e-05	Ca-alpha1D/CanA-14F/CG42260/Cngl/Galphao/Pde9/Spn/SPoCk	8	8/201	second-messenger-mediated signaling	1
GO:0048638	regulation of developmental growth	0.0746268656716418	234/12234	7.23497442127505e-06	0.000137739259868325	9.82336966726087e-05	CadN/CASK/dlg1/Galphao/Hipk/kis/Liprin-gamma/nmo/nwk/pum/Sdc/Sema1a/stau/Syn1/unc-104	15	15/201	regulation of developmental growth	1
GO:0051960	regulation of nervous system development	0.0696517412935323	211/12234	9.94943561004636e-06	0.000184740137747034	0.000131754059605422	aPKC/CadN/Cals/dlg1/Galphao/Liprin-gamma/nmo/nwk/pros/Sdc/Sema1a/Spn/stau/unc-104	14	14/201	regulation of nervous system development	1
GO:0015872	dopamine transport	0.0199004975124378	10/12234	1.37450510139983e-05	0.000246101865774446	0.000175516378236394	Ih/PsGEF/Syt1/Syt4	4	4/201	dopamine transport	1
GO:0051937	catecholamine transport	0.0199004975124378	10/12234	1.37450510139983e-05	0.000246101865774446	0.000175516378236394	Ih/PsGEF/Syt1/Syt4	4	4/201	catecholamine transport	1
GO:0034220	ion transmembrane transport	0.0995024875621891	429/12234	2.61723346387017e-05	0.000442283048276487	0.000315430029530893	Ca-alpha1D/Ca-beta/CG10804/CG12531/CG42340/CG6329/GluClalpha/Mid1/nAChRalpha1/nAChRalpha6/nAChRalpha7/nAChRbeta1/NaCP60E/NaPi-III/Nckx30C/nrv3/qvr/Rdl/SPoCk/VGlut	20	20/201	ion transmembrane transport	1
GO:0048149	behavioral response to ethanol	0.0348258706467662	56/12234	3.41386993547957e-05	0.00056422641571003	0.000402398318594989	AcCoAS/CASK/dlg1/DopEcR/dpr9/mura/pum	7	7/201	behavioral response to ethanol	1
GO:0022603	regulation of anatomical structure morphogenesis	0.0597014925373134	178/12234	3.71437485625886e-05	0.00060721954171884	0.000433060409442538	aPKC/CadN/Frl/Hipk/nmo/pros/Rap1/RhoGAPp190/Sema1a/smog/tutl/unc-104	12	12/201	regulation of anatomical structure morphogenesis	1
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.0497512437810945	126/12234	4.2217706360529e-05	0.000682746563077802	0.000486925215408931	Cow/Flo2/Galphao/Hipk/lgs/Mmp2/nAChRalpha7/nmo/qvr/ttv	10	10/201	cell surface receptor signaling pathway involved in cell-cell signaling	1
GO:0040008	regulation of growth	0.0796019900497512	306/12234	4.50172805527467e-05	0.000720276488843947	0.000513691028927759	Alk/CadN/CASK/dlg1/Galphao/Hipk/kis/Liprin-gamma/nmo/nwk/pum/Sdc/Sema1a/stau/Syn1/unc-104	16	16/201	regulation of growth	1
GO:0009628	response to abiotic stimulus	0.0995024875621891	449/12234	4.98035067232625e-05	0.000779977183289381	0.00055626872184482	Appl/Camta/jus/dlg1/Ggamma30A/Hipk/Ih/inaE/msi/nAChRalpha7/NFAT/nmo/nrv3/Plc21C/Rdl/shakB/shep/slgA/tipE/tutl	20	20/201	response to abiotic stimulus	1
GO:0017148	negative regulation of translation	0.0348258706467662	60/12234	5.37840150211828e-05	0.000817082410018777	0.000582731646003034	CG13928/eIF4EHP/heph/msi/pum/Rbfox1/wech	7	7/201	negative regulation of translation	1
GO:0015850	organic hydroxy compound transport	0.0248756218905473	26/12234	5.65699123928542e-05	0.000842387606325275	0.000600778954959025	Ih/Nrx-1/PsGEF/Syt1/Syt4	5	5/201	organic hydroxy compound transport	1
GO:0030431	sleep	0.0398009950248756	82/12234	5.81421461343275e-05	0.000857311644961065	0.000611422568739729	CanA-14F/CanB/CG6329/Ih/Ktl/Nca/qvr/Rdl	8	8/201	sleep	1
GO:1904580	regulation of intracellular mRNA localization	0.0248756218905473	27/12234	6.85058347626102e-05	0.000981264528409197	0.000699824016271677	aPKC/enc/klar/stau/Syt1	5	5/201	regulation of intracellular mRNA localization	1
GO:0048469	cell maturation	0.0597014925373134	199/12234	0.000109230548220851	0.00149370843220303	0.00106529177800594	aPKC/BicD/Ca-alpha1D/dlg1/enc/heph/kis/klar/Rim/shep/stau/Syt1	12	12/201	cell maturation	1
GO:0071241	cellular response to inorganic substance	0.0199004975124378	16/12234	0.000110240449451155	0.00149370843220303	0.00106529177800594	Ggamma30A/PsGEF/Syt1/Syt4	4	4/201	cellular response to inorganic substance	1
GO:0071695	anatomical structure maturation	0.0597014925373134	202/12234	0.000125870216009538	0.00167529915821545	0.00119479972159962	aPKC/BicD/Ca-alpha1D/dlg1/enc/heph/kis/klar/Rim/shep/stau/Syt1	12	12/201	anatomical structure maturation	1
GO:0051240	positive regulation of multicellular organismal process	0.0597014925373134	203/12234	0.000131879681242201	0.00173479803894973	0.00123723348382543	aPKC/Cals/dlg1/Hipk/Ih/kis/Nca/nmo/pros/qvr/Sdc/stau	12	12/201	positive regulation of multicellular organismal process	1
GO:0034249	negative regulation of cellular amide metabolic process	0.0348258706467662	69/12234	0.000132647456435651	0.00173479803894973	0.00123723348382543	CG13928/eIF4EHP/heph/msi/pum/Rbfox1/wech	7	7/201	negative regulation of cellular amide metabolic process	1
GO:0040012	regulation of locomotion	0.0447761194029851	120/12234	0.000158257610360411	0.00200016341161394	0.00142648832337248	CASK/Evi5/kis/Ktl/Nrx-1/Pvf3/Sema1a/Ten-a/unc-104	9	9/201	regulation of locomotion	1
GO:0061024	membrane organization	0.0646766169154229	247/12234	0.000221219809439952	0.00264059201109276	0.00188323296423819	alphaSnap/klar/Nlg2/Nlg3/Nrx-1/nwk/PsGEF/Rim/Rtnl1/Syt1/Syt4/Ten-a/Vap33	13	13/201	membrane organization	1
GO:0007623	circadian rhythm	0.0497512437810945	155/12234	0.000238168374375908	0.00282051366190052	0.00201155054694613	Ac3/dlg1/Ih/Mid1/Nca/Pdp1/Plc21C/qvr/Rdl/unc79	10	10/201	circadian rhythm	1
GO:0002118	aggressive behavior	0.0199004975124378	20/12234	0.000278728278335143	0.00322467177396965	0.00229979040990697	Ktl/Nlg2/Rdl/slgA	4	4/201	aggressive behavior	1
GO:0001738	morphogenesis of a polarized epithelium	0.0398009950248756	103/12234	0.000289176796263105	0.00329486289075537	0.00234984972401996	aPKC/CadN/dlg1/Frl/Galphao/Hipk/nmo/Rap1	8	8/201	morphogenesis of a polarized epithelium	1
GO:0048749	compound eye development	0.0845771144278607	402/12234	0.000342482111645588	0.00381550441418492	0.00272116391241212	Alk/alphaSnap/aPKC/CadN/cindr/Frl/Hipk/hth/jeb/klar/msi/Nckx30C/nmo/pros/Rap1/RhoGAP100F/tutl	17	17/201	compound eye development	1
GO:0120035	regulation of plasma membrane bounded cell projection organization	0.0447761194029851	138/12234	0.000450199642652074	0.00480212952162212	0.00342481101801018	aPKC/CadN/Flo2/pros/PsGEF/RhoGAPp190/Sema1a/tutl/unc-104	9	9/201	regulation of plasma membrane bounded cell projection organization	1
GO:0048512	circadian behavior	0.0398009950248756	111/12234	0.000480297581792985	0.00508709551420176	0.00362804474312121	Ac3/dlg1/Ih/Mid1/Nca/qvr/Rdl/unc79	8	8/201	circadian behavior	1
GO:0002028	regulation of sodium ion transport	0.0149253731343284	11/12234	0.00065408819805049	0.00649612972582198	0.00463294806173894	Teh1/Teh2/tipE	3	3/201	regulation of sodium ion transport	1
GO:0048880	sensory system development	0.0845771144278607	427/12234	0.000680008999675451	0.00649612972582198	0.00463294806173894	Alk/alphaSnap/aPKC/CadN/cindr/Frl/Hipk/hth/jeb/klar/msi/Nckx30C/nmo/pros/Rap1/RhoGAP100F/tutl	17	17/201	sensory system development	1
GO:0007317	regulation of pole plasm oskar mRNA localization	0.0199004975124378	25/12234	0.000682439160026511	0.00649612972582198	0.00463294806173894	enc/klar/stau/Syt1	4	4/201	regulation of pole plasm oskar mRNA localization	1
GO:0007350	blastoderm segmentation	0.054726368159204	211/12234	0.000728536930702765	0.00678135075641587	0.00483636367636322	aPKC/Cow/dlg1/enc/hth/kis/klar/lgs/pum/stau/Syt1	11	11/201	blastoderm segmentation	1
GO:0007619	courtship behavior	0.0348258706467662	91/12234	0.000734528678482639	0.00678135075641587	0.00483636367636322	CASK/dlg1/Ktl/Nlg2/pros/shep/tipE	7	7/201	courtship behavior	1
GO:0016477	cell migration	0.0696517412935323	319/12234	0.000800056356249637	0.00729263490787547	0.00520100431909652	CASK/cindr/Evi5/Frl/jeb/kis/Mmp2/pum/Pvf3/Rap1/Sdc/Sema1a/smog/ttv	14	14/201	cell migration	1
GO:0035418	protein localization to synapse	0.0149253731343284	12/12234	0.000861593599426241	0.00766767321619566	0.00546847634889654	dlg1/kis/stau	3	3/201	protein localization to synapse	1
GO:0010648	negative regulation of cell communication	0.0746268656716418	366/12234	0.00105138445498438	0.0092472644461784	0.00659501852649481	Alk/aPKC/Cow/cpx/Hipk/jeb/kek1/Mmp2/Nca/NFAT/Nlg2/nmo/pum/Rap1/Rdl	15	15/201	negative regulation of cell communication	1
GO:0023057	negative regulation of signaling	0.0746268656716418	367/12234	0.00108056274449562	0.0094486416727989	0.00673863792313976	Alk/aPKC/Cow/cpx/Hipk/jeb/kek1/Mmp2/Nca/NFAT/Nlg2/nmo/pum/Rap1/Rdl	15	15/201	negative regulation of signaling	1
GO:1903311	regulation of mRNA metabolic process	0.0398009950248756	126/12234	0.00110867988447674	0.00958307210490241	0.00683451181053721	bol/CG13928/mub/ps/pum/Rbfox1/SF2/Ythdc1	8	8/201	regulation of mRNA metabolic process	1
GO:0016318	ommatidial rotation	0.0199004975124378	29/12234	0.00121724019745716	0.0104018707782703	0.0074184674713448	CadN/Frl/nmo/Rap1	4	4/201	ommatidial rotation	1
GO:0051241	negative regulation of multicellular organismal process	0.0447761194029851	162/12234	0.00141669975421173	0.0117072331337057	0.00834943348491471	CadN/dlg1/Galphao/Liprin-gamma/nwk/pros/Sema1a/Spn/unc-104	9	9/201	negative regulation of multicellular organismal process	1
GO:0007522	visceral muscle development	0.0149253731343284	15/12234	0.00171829713633227	0.0135304654086059	0.00964973701803573	Alk/jeb/klar	3	3/201	visceral muscle development	1
GO:0044091	membrane biogenesis	0.0149253731343284	15/12234	0.00171829713633227	0.0135304654086059	0.00964973701803573	Nlg2/Nlg3/Nrx-1	3	3/201	membrane biogenesis	1
GO:0030706	germarium-derived oocyte differentiation	0.0199004975124378	32/12234	0.00177351789686113	0.0138925568587455	0.0099079755312582	aPKC/BicD/enc/Rbfox1	4	4/201	germarium-derived oocyte differentiation	1
GO:0010647	positive regulation of cell communication	0.0796019900497512	439/12234	0.00241722709229376	0.0178211252294599	0.0127097750621638	Alk/aPKC/BicD/Cals/Cow/DopEcR/Flo2/Glut1/Hipk/jeb/Pitslre/PsGEF/Rap1/ttv/unc-104/VGlut	16	16/201	positive regulation of cell communication	1
GO:0023056	positive regulation of signaling	0.0796019900497512	439/12234	0.00241722709229376	0.0178211252294599	0.0127097750621638	Alk/aPKC/BicD/Cals/Cow/DopEcR/Flo2/Glut1/Hipk/jeb/Pitslre/PsGEF/Rap1/ttv/unc-104/VGlut	16	16/201	positive regulation of signaling	1
GO:0045938	positive regulation of circadian sleep/wake cycle, sleep	0.0149253731343284	17/12234	0.00250661716284517	0.0183007388976657	0.0130518287631028	Ih/Nca/qvr	3	3/201	positive regulation of circadian sleep/wake cycle, sleep	1
GO:0000380	alternative mRNA splicing, via spliceosome	0.0298507462686567	85/12234	0.00272062383873257	0.0195780777677214	0.0139628088223041	Srrm234/mub/ps/Rbfox1/SF2/Ythdc1	6	6/201	alternative mRNA splicing, via spliceosome	1
GO:0032535	regulation of cellular component size	0.0447761194029851	180/12234	0.00290853958291355	0.0208306834890571	0.0148561495488166	Alk/CadN/CG4230/Stacl/nwk/PsGEF/Pvf3/RhoGAPp190/Sema1a	9	9/201	regulation of cellular component size	1
GO:0045167	asymmetric protein localization involved in cell fate determination	0.0149253731343284	18/12234	0.00297181423661698	0.0209840779900091	0.0149655483425387	aPKC/dlg1/stau	3	3/201	asymmetric protein localization involved in cell fate determination	1
GO:0010608	posttranscriptional regulation of gene expression	0.0497512437810945	217/12234	0.0031285381797778	0.0219039151493823	0.0156215632259383	bol/CG13928/CG4612/eIF4EHP/heph/msi/pum/Rbfox1/stau/wech	10	10/201	posttranscriptional regulation of gene expression	1
GO:0007420	brain development	0.0348258706467662	119/12234	0.00346122937635204	0.0238793072570342	0.0170303850048417	Appl/Frl/hth/pros/PsGEF/RhoGAPp190/Ten-a	7	7/201	brain development	1
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.0149253731343284	19/12234	0.00348667840955931	0.0239450425935032	0.0170772665193028	PAN3/CG13928/pum	3	3/201	nuclear-transcribed mRNA poly(A) tail shortening	1
GO:0050795	regulation of behavior	0.0298507462686567	92/12234	0.00403648588686955	0.0270837734535882	0.0193157650820313	Alk/Ih/Ktl/Nca/qvr/Rdl	6	6/201	regulation of behavior	1
GO:0046530	photoreceptor cell differentiation	0.0497512437810945	225/12234	0.00404587466305525	0.0270837734535882	0.0193157650820313	Alk/CadN/hth/jeb/klar/msi/pros/Rap1/RhoGAP100F/tutl	10	10/201	photoreceptor cell differentiation	1
GO:0051674	localization of cell	0.0696517412935323	381/12234	0.00415267316007451	0.0275137463997888	0.0196224157204541	CASK/cindr/Evi5/Frl/jeb/kis/Mmp2/pum/Pvf3/Rap1/Sdc/Sema1a/smog/ttv	14	14/201	localization of cell	1
GO:0007164	establishment of tissue polarity	0.0298507462686567	93/12234	0.00425718285576909	0.0275982888580893	0.0196827102088417	CadN/Frl/Galphao/Hipk/nmo/Rap1	6	6/201	establishment of tissue polarity	1
GO:0097305	response to alcohol	0.0348258706467662	124/12234	0.00434371540807506	0.0280384033207935	0.0199965936337406	AcCoAS/CASK/dlg1/DopEcR/dpr9/mura/pum	7	7/201	response to alcohol	1
GO:0006816	calcium ion transport	0.0248756218905473	66/12234	0.00452232314773216	0.0289428681454858	0.0206416451849454	Ca-alpha1D/Ca-beta/Mid1/Nckx30C/SPoCk	5	5/201	calcium ion transport	1
GO:0051656	establishment of organelle localization	0.0398009950248756	161/12234	0.00509903261461376	0.0319539377182462	0.022789097518822	aPKC/BicD/CASK/dlg1/klar/LTV1/unc-104/unc-13	8	8/201	establishment of organelle localization	1
